step,total_ke
0,208737718.195214
1000,208823328.645562
2000,209073783.450856
3000,209493815.494033
4000,210094473.959402
5000,210900819.985439
6000,211877985.903988
7000,213039072.175320
8000,214392529.791010
9000,215934478.739176
10000,217690456.200716
11000,219643439.247193
12000,221795958.975548
13000,224158283.702750
14000,226730371.936724
15000,229521310.536623
16000,232528671.805307
17000,235777271.650364
18000,239256930.658677
19000,242981579.232997
20000,246946332.465024
21000,251190355.484286
22000,255660173.280020
23000,260422640.620635
24000,265454294.023180
25000,270787111.702345
