step,total_pe
0,2119353982.879522
1000,2119524624.238123
2000,2120020612.970291
3000,2120850301.104108
4000,2122034791.589472
5000,2123624873.493697
6000,2125552818.678774
7000,2127844441.155109
8000,2130518989.070821
9000,2133567478.590450
10000,2137039662.915586
11000,2140904297.888523
12000,2145164586.499060
13000,2149843787.210712
14000,2154940947.205164
15000,2160474638.477602
16000,2166440380.412727
17000,2172887815.033812
18000,2179796621.637352
19000,2187194720.686857
20000,2195073477.456812
21000,2203511014.639498
22000,2212405075.443046
23000,2221883465.644404
24000,2231899208.292239
25000,2242522575.689686
