step,total_vel_x,total_vel_y,total_vel_z
0,339.513539,-89.549914,-88.853661
1000,339.602700,-89.296396,-89.160470
2000,339.661180,-89.038320,-89.372053
3000,339.799610,-88.759600,-89.495340
4000,339.961558,-88.470693,-89.509759
5000,340.069400,-88.214913,-89.537888
6000,340.145107,-88.082548,-89.742384
7000,340.194300,-88.062408,-89.874861
8000,340.218793,-88.180649,-89.937154
9000,340.243595,-88.266318,-90.010198
10000,340.208059,-88.314947,-90.178818
11000,340.238708,-88.564287,-90.323070
12000,340.224389,-88.688998,-90.348713
13000,340.099401,-88.703647,-90.497944
14000,340.029634,-88.666614,-90.624263
15000,340.070223,-88.682854,-90.664740
16000,340.103617,-88.632252,-90.742188
17000,340.152597,-88.512600,-90.873522
18000,340.074208,-88.515110,-90.917493
19000,339.971919,-88.605137,-90.876623
20000,339.878316,-88.792184,-90.821331
21000,339.694055,-88.980225,-90.756518
22000,339.543141,-89.104315,-90.590297
23000,339.377305,-89.149713,-90.317124
24000,339.237499,-89.208705,-90.108295
25000,339.127131,-89.343934,-89.951535
