,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.49,0.36,0.08,0.48,0.01
1,1.0,0.48,0.4,0.04,0.44,0.01
2,2.0,0.48,0.36,0.08,0.4,0.04
3,3.0,0.5,0.36,0.08,0.36,0.08
4,4.0,0.52,0.32,0.16,0.32,0.16
5,5.0,0.54,0.32,0.16,0.32,0.16
6,6.0,0.54,0.32,0.16,0.28,0.29
7,7.0,0.57,0.32,0.16,0.24,0.48
8,8.0,0.58,0.28,0.29,0.2,0.71
9,9.0,0.61,0.28,0.29,0.2,0.71
10,10.0,0.63,0.24,0.48,0.2,0.71
11,11.0,0.65,0.24,0.48,0.16,0.91
12,12.0,0.67,0.24,0.48,0.16,0.91
13,13.0,0.7,0.24,0.48,0.16,0.91
14,14.0,0.72,0.2,0.71,0.16,0.91
15,15.0,0.74,0.2,0.71,0.12,1.0
16,16.0,0.76,0.2,0.71,0.08,1.0
17,17.0,0.82,0.2,0.71,0.08,1.0
18,18.0,0.85,0.2,0.71,0.08,1.0
19,19.0,0.89,0.2,0.71,0.12,1.0
20,20.0,0.96,0.2,0.71,0.16,0.91
21,21.0,1.02,0.2,0.71,0.12,1.0
22,22.0,1.07,0.2,0.71,0.16,0.91
23,23.0,1.15,0.2,0.71,0.12,1.0
24,24.0,1.27,0.2,0.71,0.12,1.0
25,25.0,1.37,0.2,0.71,0.16,0.91
26,26.0,1.46,0.2,0.71,0.2,0.71
27,27.0,1.61,0.24,0.48,0.16,0.91
28,28.0,1.87,0.2,0.71,0.16,0.91
29,29.0,2.17,0.2,0.71,0.16,0.91
30,30.0,2.54,0.2,0.71,0.16,0.91
31,31.0,2.88,0.2,0.71,0.12,1.0
32,32.0,3.39,0.24,0.48,0.12,1.0
33,33.0,4.4,0.2,0.71,0.2,0.71
34,34.0,5.61,0.28,0.29,0.16,0.91
35,35.0,7.71,0.24,0.48,0.28,0.29
36,36.0,12.0,0.28,0.29,0.24,0.48
37,37.0,25.66,0.24,0.48,0.36,0.08
38,38.0,45.16,0.32,0.16,0.48,0.01
39,39.0,12797388.49,0.24,0.48,0.52,0.0
40,40.0,83267221.59,0.24,0.48,0.52,0.0
41,41.0,37631539.36,0.24,0.48,0.6,0.0
42,42.0,59499370.91,0.28,0.29,0.52,0.0
43,43.0,119394177.57,0.24,0.48,0.56,0.0
44,44.0,68581775.92,0.24,0.48,0.56,0.0
45,45.0,55785876.52,0.24,0.48,0.52,0.0
46,46.0,74310528.51,0.24,0.48,0.56,0.0
47,47.0,155469877.73,0.2,0.71,0.52,0.0
48,48.0,110487363.21,0.24,0.48,0.56,0.0
49,49.0,88566844.79,0.24,0.48,0.56,0.0
50,50.0,62315897.48,0.2,0.71,0.56,0.0
