step,total_vel_x,total_vel_y,total_vel_z
0,0.005670,0.000739,0.000000
1000,0.063053,-0.099347,0.007178
2000,0.155606,-0.193724,0.014824
3000,0.267789,-0.278218,0.014526
4000,0.359848,-0.330493,0.018930
5000,0.400125,-0.334866,0.049879
6000,0.461600,-0.413097,0.055862
7000,0.455202,-0.474636,0.024370
8000,0.444546,-0.565745,-0.061639
9000,0.431537,-0.604261,0.005889
10000,0.483203,-0.713976,0.013789
11000,0.502356,-0.629818,0.110734
12000,0.451050,-0.643698,0.062892
13000,0.375420,-0.761195,0.037778
14000,0.289778,-0.773224,-0.044120
15000,0.270648,-0.760779,-0.247028
16000,0.014229,-0.783356,-0.383083
17000,-0.174057,-0.684861,-0.288519
18000,-0.341617,-0.474778,-0.301417
19000,-0.414860,-0.499830,-0.476492
20000,-0.600160,-0.516631,-0.591256
21000,-0.812476,-0.443090,-0.806299
22000,-1.107295,-0.401913,-0.864173
23000,-1.421925,-0.334095,-0.882910
24000,-1.590910,-0.451243,-0.936966
25000,-1.859623,-0.615598,-0.818563
26000,-2.244576,-0.967917,-0.589355
27000,-2.550101,-1.147617,-0.599145
28000,-2.956310,-1.303992,-0.768703
29000,-3.245920,-1.628297,-1.101153
30000,-3.500400,-1.855482,-1.156555
31000,-4.139240,-2.358601,-1.136268
32000,-4.675248,-2.771899,-1.168761
33000,-4.747676,-3.138204,-1.042841
34000,-4.753932,-3.442853,-0.981969
35000,-4.715883,-3.277486,-1.024371
36000,-4.448626,-3.100260,-1.243040
37000,-4.565923,-3.275487,-1.635944
38000,-4.413638,-2.651562,-2.239588
39000,-4.368436,-2.106436,-2.394853
40000,-4.548327,-1.436636,-2.582815
41000,-4.159180,-1.616648,-2.641272
42000,-3.870489,-2.002556,-2.758464
43000,-3.696412,-2.734416,-3.251088
44000,-3.233282,-3.486621,-3.583514
45000,-2.544908,-4.246961,-4.495090
46000,-1.399423,-5.428220,-4.819899
47000,-0.372343,-7.388494,-4.997946
48000,0.456237,-9.071874,-5.873574
49000,1.031617,-11.293291,-5.419032
50000,1.918807,-13.926219,-4.568047
