step,total_pe
0,2114614892.611800
1000,2114907280.882889
2000,2115589083.276763
3000,2116538945.531159
4000,2117022629.881446
5000,2117291178.825211
6000,2118236448.050015
7000,2119684875.104038
8000,2121075132.149298
9000,2123100065.820700
10000,2125130624.663843
11000,2127277782.596917
12000,2129834445.303905
13000,2132256595.711927
14000,2135671187.264144
15000,2139564413.039466
16000,2143990566.249666
17000,2149040282.878152
18000,2155523903.864667
19000,2162044883.992753
20000,2169265749.316042
21000,2177097474.890878
22000,2186080893.666320
23000,2195177170.824299
24000,2205471508.705949
25000,2216332229.038691
26000,2228215290.635926
27000,2241145123.543729
28000,2255076175.510261
29000,2270110867.644345
30000,2286282476.166768
31000,2303866410.450228
32000,2322598209.034067
33000,2343147061.289947
34000,2364543624.140339
35000,2388161717.947448
36000,2412934150.397000
37000,2439929797.852675
38000,2468739366.708183
39000,2499810251.241315
40000,2533179236.457985
41000,2569236608.241139
42000,2608327582.276423
43000,2650194826.836896
44000,2695984600.011067
45000,2745183727.664123
46000,2799013886.463811
47000,2857360475.111041
48000,2921571175.358910
49000,2991714858.852149
50000,3069100342.123983
