step,total_ke
0,1.338445
1000,378090786.902573
2000,648635440.177701
3000,3847066713.692301
4000,5582941884.907867
5000,7400901655.182614
6000,8846251791.327934
7000,10531040982.573965
8000,11520186414.790234
9000,11993155268.936241
10000,13002874810.591747
11000,14035019552.224554
12000,15000094879.142050
13000,15609245001.688345
14000,15730892944.682623
15000,16474808467.589197
16000,16540870618.539738
17000,16614213402.624012
18000,16657536723.459612
19000,16768310601.337490
20000,16782373871.346947
21000,16864869942.821821
22000,16904332011.785629
23000,16962312486.305618
24000,16975310550.955828
25000,17024824218.966408
26000,17033265815.055941
27000,17044739222.475336
28000,17069573708.980799
29000,17078035268.584641
30000,17156368117.788216
31000,17166955057.701580
32000,17182838912.119282
33000,17194056442.866783
34000,17205940540.241486
35000,17264825355.275352
36000,17284803120.454941
37000,17298553370.358101
38000,17314455310.132809
39000,17330653662.842674
40000,17349068282.435314
41000,17369920491.517498
42000,17390268720.307346
43000,17412128342.411854
44000,17439114932.411850
45000,17500248758.779686
46000,17528112322.080399
47000,17557640374.725075
48000,17611791338.860065
49000,17646968939.879448
50000,17686174908.607292
