,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.53,0.36,0.08,0.44,0.01
1,1.0,0.53,0.36,0.08,0.44,0.01
2,2.0,0.54,0.36,0.08,0.44,0.01
3,3.0,0.54,0.36,0.08,0.44,0.01
4,4.0,0.54,0.36,0.08,0.44,0.01
5,5.0,0.54,0.36,0.08,0.44,0.01
6,6.0,0.54,0.36,0.08,0.44,0.01
7,7.0,0.55,0.36,0.08,0.4,0.04
8,8.0,0.55,0.4,0.04,0.44,0.01
9,9.0,0.55,0.36,0.08,0.44,0.01
10,10.0,0.55,0.4,0.04,0.4,0.04
11,11.0,0.55,0.36,0.08,0.4,0.04
12,12.0,0.55,0.36,0.08,0.4,0.04
13,13.0,0.55,0.36,0.08,0.4,0.04
14,14.0,0.55,0.36,0.08,0.36,0.08
15,15.0,0.56,0.4,0.04,0.36,0.08
16,16.0,0.56,0.36,0.08,0.36,0.08
17,17.0,0.57,0.36,0.08,0.36,0.08
18,18.0,0.57,0.36,0.08,0.32,0.16
19,19.0,0.58,0.32,0.16,0.32,0.16
20,20.0,0.59,0.32,0.16,0.32,0.16
21,21.0,0.6,0.32,0.16,0.28,0.29
22,22.0,0.6,0.32,0.16,0.28,0.29
23,23.0,0.61,0.32,0.16,0.32,0.16
24,24.0,0.62,0.32,0.16,0.28,0.29
25,25.0,0.63,0.28,0.29,0.28,0.29
