particle,pos_x,pos_y,pos_z
0,-6641.609838,8551.901973,3141.617369
1,6902.668734,-8917.550689,-7143.531359
2,-9710.677225,16926.660344,14029.438220
3,8800.537722,12656.046478,7686.464277
4,-2759.439316,7544.956065,23860.251077
5,-5613.385560,1902.304154,-9637.209050
6,5524.366141,9489.008937,-8692.135546
7,-16740.696862,4723.851229,8057.300784
8,6553.362616,-8060.432922,1670.064745
9,-8787.770399,21414.784965,10007.952000
10,2862.433910,8728.456473,-12218.227302
11,-17830.263268,-9093.313941,4497.284450
12,-12436.446789,11264.667205,15016.130118
13,-9208.282881,-4454.397597,-4527.332957
14,6709.315527,-8348.719796,-10183.096195
15,5166.458390,5186.835835,-12326.346172
16,5005.092450,1577.230279,2066.921182
17,10892.672640,14737.340113,-1315.317563
18,9618.426353,18746.622401,-23615.195910
19,-456.945992,7336.040819,13722.709152
20,4169.189907,5585.688217,2798.412447
21,16867.754671,-7484.610110,8588.246403
22,-9090.126016,-5616.321950,-5681.341873
23,5629.004307,6854.477200,-17484.980134
24,4171.814383,-15899.328395,6107.115652
25,16258.838142,-3610.463038,-9691.171580
26,24343.295580,19172.904744,-24491.008798
27,6365.277421,11216.534974,-15846.783957
28,89.216527,3644.526381,-5474.401863
29,4666.535502,-12631.213179,-21959.226375
30,-2399.391163,10823.039168,10950.746433
31,-10844.796754,13723.806344,-6242.727197
32,9272.328703,10329.358815,4854.852098
33,-17395.081571,-3318.213894,-6513.054043
34,-15324.936959,-65.231281,-12508.888921
35,-6548.515498,14225.654552,-16088.019724
36,14647.679805,13350.255674,7397.627622
37,-4188.743601,1413.301353,15954.727913
38,-12740.081229,-12377.510520,-12017.915910
39,5250.026416,-1003.276170,21919.531522
40,-6057.635032,2456.062295,9044.507770
41,-19892.944071,-6656.345999,18057.475611
42,16098.020820,-13582.803794,5974.310217
43,12825.602187,-8357.871575,-22279.246847
44,5246.736064,-2965.639527,10162.750282
45,20888.225523,-8024.287352,-14557.720633
46,-1469.332747,-1556.439302,19295.238422
47,-2974.680231,3969.060462,-8093.158216
48,11864.060710,-14233.044444,-12794.499020
49,19915.544383,16370.726944,3455.618727
50,9448.983460,11193.597635,683.771925
51,443.977841,-20123.624547,2970.186994
52,14431.604136,14915.198031,-18823.526487
53,-12909.854039,7699.189568,-13883.058235
54,3227.311844,-14506.421387,8095.538260
55,-8917.107016,9701.560359,-6895.695832
56,12344.273351,5034.859470,16735.918920
57,8130.739958,4796.506522,17511.031355
58,9376.618501,-21990.589672,-17238.977640
59,3944.412267,-10540.482030,6201.341168
60,4333.579151,9382.930264,-6463.703008
61,-2189.454868,9577.612771,-5036.676133
62,-16629.733550,3866.271351,-21295.557987
63,-5992.732883,-23338.186804,-8077.955141
64,-2510.678403,-11294.050916,-15003.245298
65,20098.293171,-21605.869063,19536.356673
66,-336.314997,-2046.971020,14163.285547
67,5059.731948,1313.301756,-15964.091324
68,18408.901030,16018.262013,-16389.559620
69,3566.600606,-20891.276203,-16754.448999
70,-790.906164,2785.331311,12351.129615
71,5214.268504,10392.204854,5934.416953
72,-17784.628067,-9911.924380,5521.506605
73,23739.975334,2139.468769,-863.889644
74,-4958.713773,24166.946988,2377.101697
75,8648.508300,-4426.575216,-15281.990207
76,-3211.397963,16272.453762,6254.633773
77,5281.234604,-23299.660940,-11908.112797
78,18157.701269,-4711.523745,1828.884556
79,7746.161445,9894.256403,26417.326762
80,2774.904882,12230.640345,-94.705802
81,-16170.721918,-5856.120503,-13208.337343
82,-16107.182596,-22948.973399,-21080.374374
83,-19515.630753,-10476.224678,-3434.945080
84,-9720.757459,-7917.763137,7498.402979
85,-5437.031610,941.594293,9201.368152
86,9772.596713,-14069.028097,-21256.973980
87,10697.639107,5052.652767,13796.112405
88,-18717.772236,-7546.451316,17518.034509
89,-8707.672670,-4866.673013,-4523.755020
90,-15673.718273,-21848.609474,9442.958325
91,2037.599747,-11736.959064,27154.499960
92,13226.937758,13620.245784,-11751.260914
93,-14894.524899,-15056.355085,7856.850368
94,-11148.684743,5558.779625,-18754.434408
95,-13949.447864,14997.436605,6584.501075
96,-2248.475496,7822.075055,9305.207848
97,-3572.213335,7012.028801,-13485.892653
98,-11913.342841,-9448.216433,-2282.949346
99,-4442.231304,15890.360289,-6128.103589
100,-2258.521357,-3955.677789,-15486.071478
101,3185.223292,13903.527018,-10770.721970
102,-11766.277411,-9595.976853,4795.906540
103,-1590.005598,-5559.322391,8352.625207
104,6086.649904,6018.897636,4853.860908
105,12186.976463,-8564.962800,1251.053359
106,4162.710886,4666.900293,-2701.668765
107,5086.779018,7688.883754,-5887.983267
108,7219.334603,9327.948556,-10331.935849
109,-8284.627092,15299.181248,-12739.350957
110,-3231.519378,20163.816509,14064.445218
111,2812.694329,-4260.818287,-6726.057476
112,-30068.238942,-81.673013,-1970.433060
113,9474.332807,-8351.384513,-5586.665378
114,-6692.991166,3859.509148,-1717.870741
115,-3990.057254,-5507.389822,-12602.213016
116,4976.200684,-18437.453692,7300.259940
117,-7208.336319,-7717.107588,3134.926605
118,-6313.441081,-4701.092106,-8207.274644
119,-1641.084938,11217.172104,-7682.700044
120,11016.969485,8464.186490,5880.479475
121,-10578.526261,-15032.366409,12596.213328
122,-147.550875,-3275.109679,7523.466756
123,21364.053318,-2857.945524,12943.482539
124,14601.804915,-11901.098529,23619.469000
125,10589.102663,-2281.466145,-31.297286
126,5674.788303,17631.809220,5174.894700
