particle,pos_x,pos_y,pos_z
0,-11918.157543,8673.071732,9322.748081
1,-41569.729938,-6617.611376,8300.794276
2,11939.977155,-6806.375798,8486.141214
3,6116.811245,-8296.531786,-9080.442212
4,14280.046189,-7519.428033,12789.379987
5,-8873.387420,-15838.333713,12713.613093
6,16140.717643,-15797.505563,15771.178958
7,5917.975654,-15825.314694,2822.652442
8,-18141.764161,-358.499321,4703.126274
9,15477.234582,-5716.535431,-10802.491292
10,-1311.783305,-9735.227636,282.798399
11,-13635.240959,-3385.574512,-6815.301780
12,-15159.125673,4803.113198,9619.243037
13,-16156.812706,-2085.120170,-4191.535348
14,-7667.080816,1182.524688,-10605.091841
15,4356.108701,9542.406549,9149.885213
16,15657.582014,17950.556165,10331.113598
17,-7085.200490,-14202.138869,15285.237321
18,8641.776957,16386.257256,-7641.664453
19,10472.973878,-6918.117801,-14555.277496
20,-14780.091631,9426.670587,17824.321751
21,-8150.152309,7902.829408,-15986.779743
22,1971.898757,9789.629387,-10324.334376
23,-8276.113774,-7615.887592,-11283.640628
24,2651.915483,-1582.914373,1306.554519
25,11552.689092,16522.070172,-10596.956116
26,902.530482,12926.518998,8244.608057
27,15886.200316,-6943.132219,-13484.714885
28,-17162.829727,17819.152859,11264.344343
29,-16688.454801,-15597.818601,10974.571496
30,4765.759815,-13516.182027,5860.652355
31,-7360.962884,3530.611792,-12482.896984
32,-16959.428171,-2077.905228,-102.146791
33,-2451.129500,-7911.280051,8885.371290
34,13798.906433,17534.164964,-4016.046829
35,4990.412419,-193.559892,-5914.626941
36,-2514.286557,-6254.254612,-1447.580403
37,-8893.549829,-7672.020694,17357.435189
38,8928.659428,-15969.385021,12919.226780
39,15794.329843,16978.776256,13434.395612
40,15262.799270,3536.594190,16611.462322
41,-7376.430759,2046.103900,15823.210805
42,-8820.620710,15847.387118,-11524.282745
43,-9051.097968,-2604.433272,16104.906917
44,5111.784166,-9662.235964,5754.100979
45,1492.902597,16190.727596,-5012.432534
46,9355.151604,-16453.851494,-15214.889785
47,10453.065988,-3338.319711,-6491.642393
48,14652.442882,545.606841,-7360.397562
49,-16133.491902,-10272.718252,-16373.957969
50,-16265.459525,9772.377383,6759.296535
51,4309.954576,6042.689432,-504.519501
52,-10076.611050,6978.247859,12836.636308
53,-15930.283475,16964.448069,15604.937750
54,2820.944612,-2025.762571,-15345.856659
55,12936.506247,-15913.367449,-7944.661235
56,-15686.822535,6205.316638,-3513.372065
57,16683.280230,-11166.392202,17727.998498
58,11032.384591,11896.031405,10.390274
59,10539.767276,-17214.906473,3238.866546
60,-7331.550023,13173.588319,5500.837791
61,901.061753,10582.800509,6472.249063
62,1793.951527,-5654.490508,-11059.012348
63,-10061.364364,1549.591984,-17434.825894
64,-11817.942529,-10761.882317,17404.142334
65,-14.988168,-11131.127344,-12741.393814
66,7629.151175,6943.668006,7287.608070
67,15963.609355,17427.362063,14901.552009
68,17022.369703,-13314.145875,-11917.354001
69,13693.511975,-17978.439603,7440.758180
70,10959.976942,-1198.369487,-17492.386354
71,-14453.533119,-7993.983716,-9922.927184
72,-10977.929870,15595.406938,14512.090028
73,3318.069033,-13417.313296,-3665.921283
74,3108.438919,15995.793847,-5154.963022
75,-12547.167643,-16438.166478,16118.515169
76,3052.717556,9033.480996,-6661.819347
77,-7364.648735,-454.066412,11937.958079
78,3783.921814,-16029.520310,2406.661368
79,-9416.258502,35320.266242,17055.221842
80,2811.391060,-16083.072231,6792.894482
81,-485.587933,-2320.480254,27035.828714
82,17070.099717,-11311.526325,15543.747966
83,1721.928610,-11163.837544,16487.125408
84,-6123.311734,-1539.888590,12980.702440
85,-15706.859286,15030.444037,6979.238745
86,10588.145993,6698.463329,9216.823505
87,-1534.052164,15537.213213,-760.176711
88,5426.661592,-12459.306052,11133.943826
89,-5342.202497,6994.095737,11909.116342
90,-15664.686734,10306.023258,2918.069944
91,10305.723079,-13178.362866,14099.897817
92,-7686.686477,14021.342637,-8244.346761
93,-2907.230041,-15362.572932,-2055.639445
94,-13705.980653,-9799.869284,8031.748756
95,-2865.969480,-3068.145658,-17212.927665
96,18687.183461,-16329.166323,-17295.881228
97,15866.427735,791.249356,4089.927160
98,2558.817005,9372.033341,6578.589673
99,-9702.957380,10916.920078,-14623.175091
100,-14138.589494,15835.432391,7553.083342
101,-3902.636806,-8174.271375,10091.820771
102,4854.038694,6993.197977,-9552.182915
103,1492.687618,-16911.786788,11613.857071
104,13798.908304,7163.850795,15702.781317
105,5457.122898,-2478.911574,-2653.022429
106,-7436.201653,9774.133604,-15464.990496
107,9787.776398,2482.899999,-4137.789170
108,-9499.724335,13632.756276,1238.575572
109,9138.914299,8500.063614,7133.705855
110,-18461.717555,-17813.489321,-16377.909443
111,-5647.400780,-14088.240152,15526.872661
112,-200.211767,13879.042115,-16510.471817
113,10690.787276,16147.066668,-7905.610551
114,16196.135901,13208.906142,-8802.361861
115,2562.227444,12378.788271,10089.853073
116,-7182.994560,-3083.694270,15326.225026
117,12230.018521,13943.875298,-3038.900887
118,-17939.468745,-14562.915026,-5565.480787
119,7229.002557,-12680.231405,-15198.509462
120,144.682714,-5055.770708,-1270.049930
121,-12565.833379,-16758.634147,13843.728430
122,-3843.635484,-2852.600988,12871.291033
123,-14572.433451,-9333.397367,-3110.488200
124,537.233209,111.756143,-10400.094706
125,-2325.301874,12177.706674,-8425.386468
126,10408.611341,2197.259413,16131.745926
127,3714.250574,-15497.594396,2674.208666
128,-7979.512529,2725.663473,-14667.212601
129,-16767.610189,702.427884,-5237.746389
130,-12599.157684,-17696.940086,13078.727966
131,13679.033656,-14488.332981,-1058.238378
132,-17644.508902,-7891.559134,-11587.491473
133,5823.850956,6337.339899,1454.685871
134,-7677.096775,4352.687210,12999.819806
135,-15186.300292,5508.705815,-12719.865427
136,-5753.387544,2105.507483,-16685.396553
137,13392.622704,-4869.219096,-4746.565528
