particle,pos_x,pos_y,pos_z
0,-5832.644637,-19209.570401,-4992.626013
1,8662.607032,-5483.322018,18968.884100
2,19689.420136,13651.235765,11784.888714
3,-1000.119608,309.727759,-16955.743199
4,-8338.426402,-13000.298559,-15331.899694
5,1594.046034,16218.161364,9002.819744
6,-19738.405258,16034.762020,-13458.244767
7,-1187.407325,-10194.880048,-14958.526350
8,-1288.513504,-370.093850,5361.847928
9,-8132.949278,-2653.408231,-4426.844558
10,-16251.289076,-19313.119279,21711.863339
11,-4246.547070,-4214.852818,-3219.960239
12,4180.497426,-16409.342201,-14102.021137
13,3432.643797,-8901.189665,16512.932032
14,19318.183144,-9057.399072,7836.348293
15,-9723.092040,-3648.664796,18393.130324
16,-11008.158602,-4675.835565,2029.233590
17,5909.962859,-2209.995277,14294.582916
18,17875.663232,9516.785206,13449.292018
19,5387.211896,-7927.032879,-8507.682586
20,16394.661341,22258.098421,2462.339803
21,6417.851539,-13816.357218,-4053.560991
22,8901.116107,6489.664677,-17593.367607
23,-15962.598316,9501.314494,-20498.725197
24,8062.419777,10008.931585,5848.769396
25,-9341.092252,-14307.173839,-4947.985374
26,-15530.818335,-18340.050594,5668.179236
27,-14075.245917,-12629.579578,4576.267695
28,10562.867064,-3692.785405,-11201.156993
29,-9689.043200,-6160.018389,-5103.347103
30,-14666.921355,15068.074870,6699.453767
31,14468.098689,-2981.465875,21140.400674
32,-9350.433065,10755.543234,-14636.981047
33,-16368.886658,-13346.422312,-10816.207420
34,9473.903713,-8378.585994,3283.370377
35,14650.620533,4397.595266,-7789.999324
36,-13809.345419,8523.687344,-14943.741495
37,-17162.656324,-179.108847,-3575.269015
38,-1555.407573,-17530.277717,6296.435868
39,-6754.277063,-10533.708072,3943.802866
40,-10004.518682,-9288.543750,-10398.725380
41,13570.424865,9972.931891,5641.248344
42,-6192.495929,-4252.265786,-3607.007426
43,-8580.678583,4066.450567,-21857.274418
44,-10163.704311,-19462.699876,18007.495829
45,5750.225057,-817.559265,16281.187388
46,14099.656791,6122.291753,-9069.367735
47,15900.873599,13588.038385,12368.685234
48,-16499.162084,19046.345030,3902.631326
49,1514.482712,11035.488450,-8186.605806
50,14264.799880,17856.671590,15516.332408
51,9547.738695,3373.542764,887.576355
52,1898.984144,-8546.721591,-699.934322
53,-8291.928079,-2141.802584,-2091.369704
54,17233.860326,-5135.584596,183.529981
55,1813.998514,-6989.379116,-1215.173311
56,-12407.715887,-19342.970531,-9934.244269
57,-4552.163084,-502.430061,-12415.556365
58,2952.138621,-14120.790535,-8818.776980
59,11514.710847,-206.126244,-7023.410657
60,1712.793826,17708.412328,9890.731089
61,-12084.717196,6150.522128,-12574.346466
62,12180.695895,3535.988141,-2209.232233
63,4368.211900,5988.887562,-10387.338739
64,4652.337567,-8644.147999,1669.947227
65,13536.619221,2763.368004,9095.051549
66,2803.268398,11985.959928,-17760.151490
67,2129.314530,-14255.359357,-17448.963810
68,11621.695356,591.088537,1876.633380
69,-19803.527837,-2994.064646,475.932270
70,9753.083626,19513.868099,-2420.676585
71,12631.244225,3406.887168,-10229.339977
72,17633.658787,6716.315456,-5086.158522
73,-12024.877573,13851.053790,-2765.958639
74,-9304.026168,11128.126068,-15220.449647
75,-8807.574153,3218.734344,-6800.707590
76,3165.849460,-10165.187715,-13495.071042
77,13312.315400,14416.808995,9756.639916
