step,total_pe
0,2126611396.523957
1000,2126765794.750900
2000,2127226021.470363
3000,2128056144.605007
4000,2129256105.745618
5000,2130821711.629256
6000,2132779594.552665
7000,2135099281.513966
8000,2137821767.594441
9000,2140920970.992639
10000,2144428829.492588
11000,2148352356.768368
12000,2152696487.596949
13000,2157475957.815763
14000,2162609426.538105
15000,2168235199.715214
16000,2174300869.886076
17000,2180877106.445903
18000,2187914001.047038
19000,2195445280.024509
20000,2203461227.982970
21000,2212005720.971881
22000,2221110480.548316
23000,2230693666.916778
24000,2240878183.434217
25000,2251701892.827285
26000,2263083959.247096
27000,2275146105.740615
28000,2287865633.614195
29000,2301252569.802587
30000,2315388126.014279
31000,2330293894.408418
32000,2345982807.221124
33000,2362573037.929389
34000,2379990076.263645
35000,2398273240.269589
36000,2417539337.050263
37000,2437797044.197855
38000,2459132169.356464
39000,2481618710.340290
40000,2505218200.832418
41000,2530130755.255863
42000,2556406863.685073
43000,2584105094.451825
44000,2613287204.238319
45000,2644026042.385656
46000,2676500950.441108
47000,2710874170.895647
48000,2747196918.325042
49000,2785598864.306560
50000,2826270480.926386
