step,total_vel_x,total_vel_y,total_vel_z
0,29.251156,-53.427092,-281.406090
1000,29.198104,-53.660294,-281.236004
2000,29.137358,-53.901391,-281.082656
3000,29.273369,-54.178646,-280.925167
4000,29.381889,-54.473637,-280.840616
5000,29.463910,-54.771302,-280.858638
6000,29.710752,-55.097121,-280.729935
7000,29.959221,-55.379186,-280.703074
8000,30.230568,-55.778950,-280.696736
9000,30.466005,-56.036576,-280.701856
10000,30.731024,-56.330657,-280.836809
11000,30.924886,-56.598561,-280.937747
12000,31.041375,-56.918541,-280.924091
13000,31.127209,-57.227291,-280.913210
14000,31.211206,-57.591819,-280.824291
15000,31.326194,-57.895866,-280.692101
16000,31.449644,-58.180907,-280.502016
17000,31.647186,-58.559230,-280.295645
18000,31.848306,-58.872193,-280.125462
19000,32.040406,-59.161155,-280.050207
20000,32.136445,-59.517138,-279.975253
21000,32.238507,-59.917462,-280.083540
22000,32.265623,-60.305762,-280.051829
23000,32.289024,-60.793106,-279.964520
24000,32.351848,-61.110562,-279.923632
25000,32.364490,-61.418524,-279.845500
26000,32.254878,-61.883574,-279.835549
27000,32.164109,-62.325569,-279.879472
28000,32.027002,-62.807679,-279.974960
29000,31.850351,-63.331537,-280.204614
30000,31.579046,-63.826264,-280.317425
31000,31.479802,-64.455284,-280.350016
32000,31.459436,-64.950369,-280.466113
33000,31.481242,-65.382928,-280.576130
34000,31.636599,-65.880128,-280.703688
35000,31.791556,-66.517490,-280.836418
36000,31.803857,-67.153361,-280.906604
37000,31.818483,-67.711830,-280.934659
38000,31.858311,-68.373214,-280.981522
39000,32.128055,-68.957173,-281.064505
40000,32.386327,-69.442903,-281.077842
41000,32.589036,-70.034669,-280.902929
42000,32.861028,-70.555678,-280.697029
43000,33.211664,-71.087849,-280.449572
44000,33.464512,-71.437440,-280.256637
45000,33.875266,-71.952853,-280.260739
46000,34.188858,-72.301856,-280.201755
47000,34.588297,-72.628102,-279.774410
48000,34.743836,-73.035421,-279.209693
49000,34.934982,-73.531367,-278.783194
50000,35.404594,-73.666840,-278.561415
