step,total_ke
0,209068075.207028
1000,209146811.805373
2000,209381379.997023
3000,209803798.354974
4000,210413541.803105
5000,211208588.848991
6000,212201952.622734
7000,213378466.109151
8000,214757698.400644
9000,216326957.049624
10000,218101222.722102
11000,220085082.119028
12000,222280042.599429
13000,224692519.314917
14000,227282704.369146
15000,230119702.740945
16000,233176381.292819
17000,236489037.691937
18000,240032790.795008
19000,243824064.244482
20000,247857334.638318
21000,252154795.557443
22000,256731275.395865
23000,261546473.922602
24000,266663551.651891
25000,272099450.486568
26000,277814665.730461
27000,283869039.389068
28000,290252414.826999
29000,296968723.488372
30000,304059467.643949
31000,311548050.458532
32000,319411308.342250
33000,327724015.993033
34000,336449411.012904
35000,345605674.389455
36000,355249913.200453
37000,365386964.859167
38000,376133795.981863
39000,387379899.443693
40000,399179217.124095
41000,411629677.577350
42000,424757660.621648
43000,438594289.608276
44000,453168520.191176
45000,468514284.834552
46000,484718027.333433
47000,501863543.901563
48000,519968257.805251
49000,539097370.794815
50000,559343907.810904
