step,total_pe
0,2114635209.518756
1000,2112443862.573980
2000,2105171164.949458
3000,2093486025.685235
4000,2077841046.664566
5000,2058637980.004102
6000,2036247145.417287
7000,2011027225.944600
8000,1983371223.298155
9000,1953509040.116451
10000,1921766360.147619
11000,1888489691.010416
12000,1853920791.624273
13000,1818318803.195087
14000,1781911401.264848
15000,1744896236.583196
16000,1707546635.898248
17000,1670158360.295562
18000,1632926956.105993
19000,1595983531.943009
20000,1559518054.122794
21000,1523646760.760155
22000,1488533818.208290
23000,1454193145.918999
24000,1420743335.829674
25000,1388252297.110050
26000,1356705633.751441
27000,1326111967.130725
28000,1296499739.295316
29000,1267844345.494563
30000,1240154061.254434
31000,1213384595.160743
32000,1187509211.406893
33000,1162530771.663302
34000,1138403829.449320
35000,1115121203.383326
36000,1092640839.857496
37000,1070933621.349887
38000,1049963644.205132
39000,1029714565.010603
40000,1010121013.455942
41000,991195025.985398
42000,972886265.207801
43000,955200254.101217
44000,938102805.220864
45000,921545393.930494
46000,905517403.393569
47000,889991366.623245
48000,874967458.317948
49000,860401913.580748
50000,846299691.244277
