step,total_ke
0,5229815967.786626
1000,5228741379.111677
2000,5225139770.842210
3000,5219328840.873034
4000,5211531419.787297
5000,5201941491.482956
6000,5190740545.944937
7000,5178113623.761549
8000,5164252127.928531
9000,5149279827.731789
10000,5133355293.771759
11000,5116650583.773210
12000,5099291076.335354
13000,5081414172.738267
14000,5063134727.270148
15000,5044554450.123128
16000,5025811141.788354
17000,5007051898.989748
18000,4988377460.580702
19000,4969852963.763938
20000,4951575622.827165
21000,4933601423.221146
22000,4916008781.326077
23000,4898807875.027337
24000,4882051419.747900
25000,4865775137.820759
26000,4849972239.264824
27000,4834644981.858132
28000,4819809164.952564
29000,4805448602.785493
30000,4791568863.517776
31000,4778148092.822807
32000,4765172814.569757
33000,4752735598.076741
34000,4740630844.996369
35000,4728947081.540982
36000,4717661607.020846
37000,4706762069.945857
38000,4696229741.159598
39000,4686056925.406670
40000,4676210355.221288
41000,4666696148.672153
42000,4657489525.559834
43000,4648593973.330928
44000,4639993210.004596
45000,4631663518.606431
46000,4623599627.125044
47000,4615787375.742151
48000,4608228292.210707
49000,4600899846.680481
50000,4593805910.592276
