,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.45,0.36,0.08,0.44,0.01
1,1.0,0.45,0.36,0.08,0.44,0.01
2,2.0,0.47,0.36,0.08,0.4,0.04
3,3.0,0.48,0.32,0.16,0.36,0.08
4,4.0,0.5,0.36,0.08,0.32,0.16
5,5.0,0.52,0.36,0.08,0.28,0.29
6,6.0,0.54,0.28,0.29,0.28,0.29
7,7.0,0.55,0.32,0.16,0.24,0.48
8,8.0,0.57,0.32,0.16,0.24,0.48
9,9.0,0.59,0.32,0.16,0.2,0.71
10,10.0,0.61,0.32,0.16,0.16,0.91
11,11.0,0.65,0.28,0.29,0.16,0.91
12,12.0,0.68,0.2,0.71,0.12,1.0
13,13.0,0.69,0.24,0.48,0.16,0.91
14,14.0,0.72,0.2,0.71,0.16,0.91
15,15.0,0.76,0.2,0.71,0.16,0.91
16,16.0,0.78,0.2,0.71,0.12,1.0
17,17.0,0.8,0.24,0.48,0.12,1.0
18,18.0,0.85,0.2,0.71,0.12,1.0
19,19.0,0.91,0.2,0.71,0.12,1.0
20,20.0,0.95,0.2,0.71,0.12,1.0
21,21.0,0.99,0.2,0.71,0.12,1.0
22,22.0,1.07,0.2,0.71,0.12,1.0
23,23.0,1.13,0.24,0.48,0.12,1.0
24,24.0,1.25,0.24,0.48,0.16,0.91
25,25.0,1.38,0.2,0.71,0.12,1.0
26,26.0,1.53,0.24,0.48,0.2,0.71
27,27.0,1.7,0.24,0.48,0.24,0.48
28,28.0,1.84,0.28,0.29,0.2,0.71
29,29.0,2.04,0.28,0.29,0.24,0.48
30,30.0,2.42,0.24,0.48,0.28,0.29
31,31.0,2.67,0.24,0.48,0.24,0.48
32,32.0,3.26,0.24,0.48,0.2,0.71
33,33.0,4.44,0.28,0.29,0.24,0.48
34,34.0,6.65,0.28,0.29,0.28,0.29
35,35.0,10.77,0.24,0.48,0.4,0.04
36,36.0,38.49,0.24,0.48,0.48,0.01
37,37.0,11838346.93,0.24,0.48,0.6,0.0
38,38.0,34052867.82,0.24,0.48,0.56,0.0
39,39.0,68897831.85,0.24,0.48,0.56,0.0
40,40.0,81103555.36,0.24,0.48,0.52,0.0
41,41.0,113188292.75,0.28,0.29,0.52,0.0
42,42.0,163166445.96,0.24,0.48,0.56,0.0
43,43.0,112163740.81,0.24,0.48,0.56,0.0
44,44.0,82316271.49,0.24,0.48,0.52,0.0
45,45.0,164426848.23,0.2,0.71,0.6,0.0
46,46.0,81257146.79,0.24,0.48,0.6,0.0
47,47.0,81713731.35,0.24,0.48,0.6,0.0
48,48.0,94914768.31,0.24,0.48,0.56,0.0
49,49.0,144365221.79,0.24,0.48,0.52,0.0
50,50.0,78502890.55,0.2,0.71,0.56,0.0
