step,total_ke
0,5257164307.205772
1000,5255711902.954576
2000,5251759713.290451
3000,5245533573.134800
4000,5237281776.177963
5000,5227270288.694428
6000,5215645071.498178
7000,5202579285.160331
8000,5188291697.558768
9000,5172912618.002478
10000,5156621717.894492
11000,5139570026.139884
12000,5121881204.920160
13000,5103681328.120564
14000,5085157412.107200
15000,5066355664.936440
16000,5047434087.538877
17000,5028501505.916163
18000,5009659220.711571
19000,4991009528.665658
20000,4972623749.255417
21000,4954567582.316765
22000,4936904179.273871
23000,4919692753.571799
24000,4902924779.086036
25000,4886627873.932961
