step,total_vel_x,total_vel_y,total_vel_z
0,90.469530,768.219418,-360.839988
1000,90.620625,768.397486,-360.854050
2000,90.797145,768.426665,-360.827725
3000,90.815024,768.475690,-360.721469
4000,90.786296,768.580155,-360.639031
5000,90.658739,768.664941,-360.543865
6000,90.564593,768.734983,-360.470022
7000,90.439476,768.752565,-360.591729
8000,90.212872,768.795094,-360.788425
9000,89.972572,768.904652,-360.912938
10000,89.765606,769.005653,-360.927302
11000,89.535995,769.107753,-360.887668
12000,89.364995,769.095486,-360.837381
13000,89.190927,768.995964,-360.723515
14000,89.008692,768.862633,-360.613732
15000,88.854863,768.790272,-360.543284
16000,88.767485,768.721620,-360.413044
17000,88.677851,768.670965,-360.210543
18000,88.605955,768.648943,-360.111014
19000,88.544223,768.651129,-360.067412
20000,88.534556,768.675756,-360.082295
21000,88.463570,768.655964,-360.081473
22000,88.362540,768.646446,-360.165710
23000,88.255381,768.648725,-360.254265
24000,88.197914,768.695218,-360.295433
25000,88.184057,768.762541,-360.365024
