step,total_pe
0,2120877330.494446
1000,2117937306.396820
2000,2109977887.027803
3000,2097469982.871041
4000,2080915942.085965
5000,2060872262.090417
6000,2037619751.654131
7000,2011511124.070209
8000,1982988970.291569
9000,1952310856.085294
10000,1919830963.642762
11000,1885847516.495389
12000,1850595218.424872
13000,1814326165.918562
14000,1777409528.791782
15000,1739932074.490773
16000,1702211666.193995
17000,1664458375.005579
18000,1626879638.377793
19000,1589683212.020077
20000,1553009925.270993
21000,1516981237.663839
22000,1481730116.498401
23000,1447377498.340758
24000,1413906572.767993
25000,1381370290.359734
