step,total_ke
0,5210970353.134325
1000,5209886964.858736
2000,5206376807.376122
3000,5200563504.102078
4000,5192733942.634142
5000,5183105395.842257
6000,5171898467.466244
7000,5159309663.673109
8000,5145494703.350140
9000,5130565260.100952
10000,5114724407.560346
11000,5098099446.799252
12000,5080842331.481687
13000,5063053298.623210
14000,5044868645.559085
15000,5026406105.851129
16000,5007773154.956242
17000,4989107501.738373
18000,4970518719.846149
19000,4952070012.090894
20000,4933851725.584951
21000,4915917747.468535
22000,4898365420.643970
23000,4881217533.933080
24000,4864512631.113856
25000,4848261095.685749
26000,4832471942.252107
27000,4817181204.618721
28000,4802385296.193135
29000,4788044184.420923
30000,4774176505.124881
31000,4760782623.305292
32000,4747841067.994525
33000,4735337856.345655
34000,4723259903.738833
35000,4711602668.489577
36000,4700338363.676696
37000,4689459738.173775
38000,4678950354.577830
39000,4668795462.080159
40000,4658987826.803605
41000,4649499382.285332
42000,4640336459.269560
43000,4631467973.012526
44000,4622889345.469934
45000,4614583095.460174
46000,4606537668.947606
47000,4598749682.820562
48000,4591204581.462889
49000,4583898202.340631
50000,4576811896.519336
