step,total_pe
0,2112166083.560337
1000,2109976367.648272
2000,2102893711.844980
3000,2091196163.033746
4000,2075491726.509674
5000,2056206266.172078
6000,2033788756.060839
7000,2008638797.008646
8000,1981063297.572307
9000,1951282421.857278
10000,1919694539.692725
11000,1886564649.262532
12000,1852181265.786936
13000,1816733589.723860
14000,1780481492.347301
15000,1743680808.503693
16000,1706535880.263920
17000,1669317650.834740
18000,1632239545.770989
19000,1595432242.270598
20000,1559074458.787022
21000,1523278718.805301
22000,1488238347.944918
23000,1454001275.224021
24000,1420643846.082595
25000,1388180277.197212
26000,1356639808.660946
27000,1326093085.980266
28000,1296533586.422832
29000,1267884781.421735
30000,1240192576.687703
31000,1213452692.114378
32000,1187620166.872728
33000,1162672607.011704
34000,1138583673.185113
35000,1115341852.857188
36000,1092891131.151402
37000,1071218202.918915
38000,1050287141.571597
39000,1030069898.570387
40000,1010550260.046607
41000,991667785.643032
42000,973439560.497873
43000,955803991.159940
44000,938751919.094797
45000,922245333.305721
46000,906258783.248590
47000,890786293.696665
48000,875796548.683805
49000,861281182.717873
50000,847203703.444096
