step,total_pe
0,2121776474.993424
1000,2122112044.103459
2000,2122751899.123408
3000,2123665053.215494
4000,2125082276.583777
5000,2126222815.854950
6000,2127454388.365523
7000,2128910576.480989
8000,2130161045.334024
9000,2131768568.253685
10000,2134072268.576231
11000,2137304157.410235
12000,2141242642.240646
13000,2145461534.914580
14000,2150109795.442061
15000,2154911831.602921
16000,2160245274.336892
17000,2166223301.178356
18000,2172340065.346624
19000,2179431660.574289
20000,2187144055.694101
21000,2195414958.167775
22000,2204623445.966878
23000,2214801896.519183
24000,2225391170.129455
25000,2237109808.327781
26000,2249546995.062337
27000,2263071888.893510
28000,2277722729.330822
29000,2293438569.605006
30000,2310368289.203042
31000,2328960392.998285
32000,2348444422.447475
33000,2369688058.615074
34000,2392021158.100226
35000,2416490161.750525
36000,2442874641.709258
37000,2470844188.177732
38000,2500893413.559948
39000,2533532000.088466
40000,2568517386.918615
41000,2606177260.092794
42000,2646911540.799578
43000,2691007369.123873
44000,2738971783.086010
45000,2790655202.525036
46000,2847345220.542322
47000,2908736302.311426
48000,2976363232.366203
49000,3050658730.766579
50000,3132688297.747528
