step,total_vel_x,total_vel_y,total_vel_z
0,-0.006863,-0.002781,0.000000
1000,0.007614,0.009848,0.211421
2000,0.038495,0.027246,0.428523
3000,0.047368,0.043003,0.621955
4000,0.064435,0.020933,0.858583
5000,0.072895,-0.018033,1.091990
6000,0.071707,-0.070190,1.340198
7000,0.055847,-0.115513,1.593675
8000,0.029936,-0.218038,1.786097
9000,-0.070908,-0.323282,1.940722
10000,-0.225694,-0.381832,2.137197
11000,-0.321863,-0.376701,2.367816
12000,-0.397331,-0.408375,2.604768
13000,-0.455309,-0.458488,2.762038
14000,-0.376835,-0.572437,3.015487
15000,-0.424176,-0.759702,3.317378
16000,-0.453112,-0.935155,3.527309
17000,-0.487943,-1.008755,3.829976
18000,-0.524810,-0.965740,4.238457
19000,-0.421120,-0.973579,4.573467
20000,-0.560888,-0.824212,4.895214
21000,-0.543866,-0.568768,5.007101
22000,-0.676379,-0.334900,5.037558
23000,-0.616458,-0.124099,5.064391
24000,-0.475127,0.082200,5.079962
25000,-0.401147,0.383294,5.167180
26000,-0.410254,0.852145,5.238642
27000,-0.407244,1.382953,5.342689
28000,-0.433170,1.653906,5.477298
29000,-0.579017,1.850502,5.762278
30000,-1.064037,2.360544,6.167924
31000,-1.435003,2.808010,6.433345
32000,-1.849476,3.413845,6.588549
33000,-2.542132,3.660085,6.595453
34000,-3.237132,3.763750,6.581748
35000,-3.545810,4.168334,6.916075
36000,-3.853613,4.444483,7.285911
37000,-4.153385,4.578464,7.608717
38000,-4.896299,4.546661,7.984377
39000,-5.155937,5.264201,8.487577
40000,-5.471625,6.487487,8.747470
41000,-5.353241,8.023733,9.285069
42000,-4.928558,9.366199,10.356599
43000,-4.212650,10.892221,11.602585
44000,-3.699634,12.315377,12.613970
45000,-3.530043,13.519183,14.114826
46000,-3.976822,13.770711,15.144037
47000,-3.656647,14.356209,16.448932
48000,-4.148440,15.548701,16.746276
49000,-4.318070,16.291351,17.183988
50000,-5.587384,16.567044,18.019423
