step,total_ke
0,0.478439
1000,5495770.176218
2000,1176345233.554826
3000,2156040534.215333
4000,4271760159.193135
5000,5533756750.455783
6000,7145817396.780865
7000,10116013768.302055
8000,10642545459.231573
9000,11208703849.793364
10000,11368038418.356565
11000,11640954205.996536
12000,12404269789.840780
13000,12636003978.757032
14000,13221148595.908989
15000,13318224378.988167
16000,13588530621.327417
17000,13921669443.777378
18000,14032700878.318937
19000,14096605203.563145
20000,14114358639.261705
21000,14128621548.151340
22000,14153248126.137028
23000,14172693771.108358
24000,14564325429.725735
25000,14581474363.453447
26000,14695370160.992363
27000,14711419081.793501
28000,14720269651.969095
29000,14730876252.993418
30000,14743021902.430384
31000,14756930673.789631
32000,14770738641.743185
33000,14966266119.468361
34000,14981865103.897177
35000,15003796111.226780
36000,15017665215.618729
37000,15031726563.605206
38000,15047283445.944590
39000,15064338764.424814
40000,15082197799.053551
41000,15101625694.172440
42000,15122052116.241268
43000,15148760272.019709
44000,15177031190.158573
45000,15205028514.887959
46000,15233969271.476938
47000,15265213713.481430
48000,15300362097.348135
49000,15337331113.308514
50000,15402689269.768179
