step,total_pe
0,2125361092.520509
1000,2125705609.139381
2000,2126285678.277797
3000,2126874077.874399
4000,2127740938.235503
5000,2128852290.704708
6000,2130077519.147030
7000,2132026035.652808
8000,2133250204.779010
9000,2134554995.752594
10000,2136918412.608944
11000,2139308304.867736
12000,2141788763.493157
13000,2144949638.388379
14000,2148782335.179630
15000,2153435466.292836
16000,2158033665.065806
17000,2164007455.295796
18000,2169981262.342407
19000,2176993091.348176
20000,2184655880.842063
21000,2193160782.277559
22000,2202624184.850016
23000,2212710762.098690
24000,2223610552.577332
25000,2235347109.363215
26000,2248737642.093487
27000,2262412308.170436
28000,2277221906.402691
29000,2293454413.633839
30000,2310676894.321347
31000,2329193698.546127
32000,2348907666.468854
33000,2370172969.471807
34000,2392435660.747142
35000,2416808252.776153
36000,2443068325.934452
37000,2470888252.291083
38000,2501136894.134921
39000,2533331750.489132
40000,2568310878.348063
41000,2606251915.093741
42000,2647116761.098835
43000,2691253322.810786
44000,2739155908.658917
45000,2790999492.735711
46000,2847819276.041910
47000,2909528645.339057
48000,2977555870.233328
49000,3052164368.105889
50000,3134135565.338166
