step,total_vel_x,total_vel_y,total_vel_z
0,-0.012708,-0.012119,0.000000
1000,0.355968,-0.220096,0.122633
2000,0.734399,-0.407178,0.246328
3000,1.088200,-0.593366,0.375591
4000,1.444432,-0.794186,0.527015
5000,1.738167,-1.045740,0.725312
6000,1.968613,-1.317884,0.897999
7000,2.225894,-1.577221,0.947312
8000,2.466761,-1.824906,0.994273
9000,2.627079,-2.225669,1.110628
10000,2.871518,-2.535898,1.268743
11000,3.114777,-2.764160,1.411231
12000,3.431052,-2.985887,1.511701
13000,3.752208,-3.323906,1.624682
14000,4.150092,-3.635908,1.661249
15000,4.393471,-4.032158,1.739127
16000,4.632866,-4.275410,1.981293
17000,4.814168,-4.433686,2.228930
18000,5.071941,-4.755485,2.282007
19000,5.499447,-5.057197,2.458438
20000,5.686113,-5.616802,2.682338
21000,5.796875,-5.785653,3.030420
22000,5.906043,-6.014065,3.207832
23000,6.085144,-6.144862,3.188435
24000,6.207459,-6.359104,3.252880
25000,6.459329,-6.373931,3.239433
26000,6.505993,-6.394222,3.116404
27000,6.460774,-6.552149,3.282377
28000,6.428529,-6.520653,3.276064
29000,6.443395,-6.849559,3.278110
30000,6.512755,-6.891298,3.397076
31000,6.520276,-7.070222,3.656047
32000,6.539822,-7.301397,3.732096
33000,6.719857,-7.581446,4.055099
34000,6.543698,-7.849140,4.090665
35000,6.390770,-8.357497,4.427981
36000,6.657829,-8.835386,3.891370
37000,6.767570,-9.158670,3.004457
38000,7.591811,-9.407032,1.864920
39000,8.056475,-9.291442,0.560343
40000,8.256836,-9.687579,-1.333142
41000,8.395072,-10.314975,-3.045196
42000,8.378373,-10.838540,-4.462536
43000,8.411296,-11.191983,-5.847644
44000,8.214242,-11.323317,-7.477865
45000,8.658992,-11.053004,-9.059836
46000,8.775153,-10.443418,-9.668422
47000,7.233589,-9.346782,-10.996163
48000,6.177918,-8.867861,-12.539326
49000,5.084770,-8.564154,-14.022178
50000,3.356602,-7.834485,-15.065954
