step,total_ke
0,0.846632
1000,527647049.958723
2000,1964346912.025309
3000,2809829676.358418
4000,3772079413.300837
5000,5502633507.133233
6000,6222972952.311871
7000,8735874013.131010
8000,10414199970.281260
9000,10851941515.820877
10000,11553990898.580393
11000,12143343925.335228
12000,12749016919.144207
13000,13096391755.690987
14000,13221175109.459675
15000,13283880658.121710
16000,13353393071.045437
17000,13385388632.281715
18000,13421021345.340441
19000,13834904211.037758
20000,13880687081.809629
21000,14107506797.170038
22000,14127852118.960657
23000,14148515770.818062
24000,14187449024.974220
25000,14206429748.653835
26000,14237085608.256809
27000,14251149030.172506
28000,14276731439.640774
29000,14293894305.320770
30000,14306624510.863050
31000,14317751450.618671
32000,14510323594.682922
33000,14574633030.379995
34000,14590511730.585264
35000,14609440295.584805
36000,14623994755.432066
37000,14638697524.423372
38000,14916244340.537003
39000,14942686072.946712
40000,14962253067.817457
41000,14981933604.540218
42000,15003812909.380129
43000,15026883073.807596
44000,15055421940.043867
45000,15082028780.020596
46000,15111315306.512466
47000,15142956332.189606
48000,15180652202.333984
49000,15645921818.386707
50000,15686703786.535015
