step,total_ke
0,209485160.366679
1000,209632659.702443
2000,209953528.142913
3000,210425058.274598
4000,211084474.445211
5000,211931358.329194
6000,212974042.392503
7000,214187346.781962
8000,215589852.891547
9000,217168492.747939
10000,218955359.477618
11000,220947270.125586
12000,238094260.887281
13000,240519392.128648
14000,243133354.973716
15000,245936508.129639
16000,248982780.949016
17000,252230588.473314
18000,255713890.914400
19000,259452810.082666
20000,263452180.691946
21000,267699445.511608
22000,272196141.313234
23000,276958588.115513
24000,282002509.773455
25000,287352835.016227
