step,total_vel_x,total_vel_y,total_vel_z
0,-344.149148,201.948328,-212.318533
1000,-344.084878,202.126153,-212.184372
2000,-343.973770,202.238660,-211.907151
3000,-343.789787,202.272966,-211.773956
4000,-343.578998,202.360799,-211.752629
5000,-343.284807,202.478832,-211.768924
6000,-343.046704,202.641694,-211.747647
7000,-342.877302,202.809767,-211.714707
8000,-342.669206,203.016678,-211.603721
9000,-342.441289,203.209796,-211.621793
10000,-342.064857,203.460983,-211.702864
11000,-341.774575,203.593364,-211.687998
12000,-341.595691,203.685788,-211.724483
13000,-341.421682,203.854098,-211.720367
14000,-341.245956,204.087083,-211.754739
15000,-341.150970,204.298137,-211.707873
16000,-341.071906,204.513021,-211.687632
17000,-341.023916,204.748122,-211.705542
18000,-340.964883,204.950827,-211.747460
19000,-340.938521,205.180353,-211.796834
20000,-341.013824,205.339102,-211.837175
21000,-341.043906,205.629121,-211.911358
22000,-341.093411,205.973637,-211.993042
23000,-341.077460,206.210405,-212.146367
24000,-341.025385,206.309184,-212.255476
25000,-340.986499,206.461927,-212.486897
