step,total_pe
0,2115496003.706714
1000,2115786544.923048
2000,2116416711.394584
3000,2117342751.148972
4000,2118641309.895685
5000,2120309770.616391
6000,2122364957.660226
7000,2124757790.821291
8000,2127524870.607288
9000,2130641035.032117
10000,2134170511.284210
11000,2138107925.535187
12000,2142460118.573349
13000,2147189322.327022
14000,2152366835.516201
15000,2157922001.787699
16000,2163962599.257069
17000,2170406062.531373
18000,2177321998.446651
19000,2184748834.978283
20000,2192696716.609747
21000,2201141109.161001
22000,2210080499.925179
23000,2219552493.843983
24000,2229588344.557018
25000,2240236220.243742
