particle,pos_x,pos_y,pos_z
0,5688.974319,3990.480425,32471.223287
1,-6121.187597,-17540.974322,16026.310944
2,-95.175523,37138.789096,-31532.960162
3,-75191.655904,21096.980824,-34768.009921
4,43830.732130,-44227.954391,-17254.276275
5,-28348.867962,-33555.484016,-7149.947678
6,-1960.215087,-41085.388208,-38102.404049
7,29801.192569,12455.146280,19942.582954
8,-452.761954,14722.870470,-5934.084108
9,2137.542412,-4393.759738,-45478.875806
10,-5388.139153,1159.496128,-24349.577131
11,19930.118578,-4119.042628,-36984.270780
12,935.469878,-6076.942502,-18039.025237
13,-15817.711629,-6579.979902,-7320.248679
14,-37439.817860,-27891.281353,-28537.697756
15,-26985.141213,-14453.186143,5262.389203
16,-8804.930925,-18192.629827,20167.878197
17,-30031.597886,57565.990149,24642.640720
18,-12662.377377,-17145.582328,-42703.072913
19,32187.433689,12152.116217,15449.850720
20,1491.805202,19939.659444,4882.864654
21,9631.779040,15895.681255,14314.476480
22,7490.420569,-6418.897957,2548.136869
23,-6248.139542,17420.575107,-15782.805399
24,-10383.809146,31794.538110,6761.434736
25,-38888.642445,28053.589681,-7049.927670
26,2513.849296,18827.103563,-51868.218868
27,17899.414734,24858.224163,16668.343720
28,-23452.951968,-310.348525,-22207.335594
29,-36060.765815,-49698.144612,30064.918852
30,22377.533842,-29524.030441,-25211.772506
31,-17030.226904,-7369.316945,33557.259024
32,-48852.550611,-20533.411187,-8342.414832
33,-6440.525003,-4922.223191,-41500.396732
34,26142.740540,-30989.705166,34284.875299
35,-16312.548948,24206.252705,-59951.364931
36,-3663.981981,-19806.621037,-3536.410880
37,-1027.951800,23410.738355,5660.428324
38,10780.708864,-4732.676700,-11571.976086
39,-46892.706197,-6701.191025,1837.119641
40,-36014.036540,-13494.350072,1897.825413
41,-26318.834647,-38943.074953,1605.236405
42,28703.782154,-27983.042246,22728.889693
43,5035.426328,24299.216185,-29269.704876
44,-12158.653657,2717.721925,-5559.970552
45,-23640.200736,42518.824673,13223.587296
46,2867.994565,3922.903984,-21074.229510
47,14437.406194,6844.725442,-54874.891864
48,-5493.488473,-8615.164928,-2094.596928
49,31425.027326,4230.822452,11714.682490
50,11124.622001,-27155.674201,21342.305219
51,-5220.833172,-8912.905940,3139.352264
52,13046.392590,3897.364387,32344.862061
53,-7489.970756,8250.547887,-1166.120540
54,-36952.640299,-9556.328818,-15258.851056
55,-12466.467382,2768.635599,34298.775359
56,17058.734158,48081.138851,3381.158383
57,6726.021339,12568.801718,3433.398558
58,-9702.244285,-13531.531109,-50152.927490
59,12792.457359,14481.197123,26377.074590
60,-5842.159016,47734.995116,20706.330322
61,-12319.323809,25107.752538,5506.109480
62,-43680.975681,34808.180539,14320.274193
63,38939.845346,39121.948112,-10248.674767
64,8416.149772,37119.819621,601.234906
65,-30393.139234,-13897.643012,-24069.985212
66,-38388.476455,-18650.753161,-28634.368506
67,-2719.550888,-4331.760161,-46618.227719
68,3996.429606,-8497.899248,26830.234647
69,6619.101992,-3311.456175,3084.113971
70,-16485.738898,-44933.881040,44814.962846
71,11867.204218,24467.226756,-26646.291255
72,-9131.174596,-7403.277863,26783.804333
73,-21355.403776,-16388.843977,-22012.758327
74,2643.003017,-13327.949552,-25124.159999
75,5775.909120,-27581.850199,8740.497771
76,-33987.439769,-39131.696301,-15957.722897
77,12753.246656,-6735.483342,508.094177
78,-17102.204543,-3417.010995,41712.081457
79,32695.107446,15128.643085,3659.762959
80,-3346.245628,5310.602438,-32605.015105
81,7071.436521,7444.047978,-38386.279060
82,20123.733416,-12433.234096,-18038.439064
83,-33971.502960,-34180.068743,35227.945854
84,15733.908071,-49431.434598,19402.119911
85,23660.130656,-6486.941053,16414.530104
86,59905.471830,19949.845894,-19060.914537
87,-32362.125361,-11844.436628,9822.787382
88,-789.157652,-1899.341803,-46853.255882
89,-7479.329917,24316.278708,9688.772575
90,-14868.172803,-11718.369909,27700.569644
91,12745.357071,-22449.700285,-55809.283449
92,-19199.755432,-24876.790278,-976.275315
93,-10833.286233,3738.297185,-15634.744880
94,-6170.553126,5937.777698,5428.741596
95,-35943.199284,-44534.736634,17499.197855
96,-11439.521683,34697.343457,-14592.412442
97,-17488.495334,-78.650017,-28416.377751
98,-50468.041817,27880.681371,-32188.188163
99,10903.384475,-659.625778,-65903.704674
100,-21876.052438,11476.714435,-2745.891732
101,-244.451394,20232.777778,-966.696470
102,22566.142467,-6636.407321,-10029.399544
103,45823.491499,-46761.296639,-18825.326604
104,-14756.137328,34773.639188,-24226.233820
105,-26065.909230,6612.100893,12206.292201
106,6413.957256,2023.414802,22678.190267
107,-12814.094768,653.444596,46468.488365
108,-10504.155091,2031.251265,-10276.053568
109,-42704.679718,-22467.019169,29860.783756
110,10893.137961,-32575.113541,11181.847924
111,6579.701262,13411.395675,-30962.548583
112,20263.090444,17031.770626,29188.434397
113,-12022.218616,14662.694575,39754.930608
114,-4514.847147,-168.550080,9119.117344
115,-17333.135489,-9918.372120,-15330.797481
116,-23199.536202,-16419.144310,37868.915910
117,-13032.980600,11612.220884,11964.519171
118,21256.169070,6398.091545,-230.121288
119,-899.820977,-18984.808827,-26253.600856
120,-13387.031973,893.890149,-14359.337885
121,15569.996131,15248.161482,-5997.816812
122,5140.307604,-55286.433604,26908.300948
123,-15930.558146,5410.680000,37057.011543
124,6196.164067,9927.744596,26812.172084
125,-15187.933664,4707.755068,-21974.708542
126,5039.044754,-16472.158834,41992.285329
127,2396.954219,11917.598664,17998.646240
128,-10995.352399,8643.454315,-3021.836470
129,1415.228965,-46074.930633,-37394.007173
130,21596.650491,31378.010645,-10743.865638
131,-33015.304289,49646.122815,-17694.375307
132,-24750.587461,6638.450103,-17587.128659
133,-34039.738242,20694.212345,14756.741261
134,-31620.550870,-12853.225637,-24874.951104
135,6055.194569,17527.761402,-50792.111075
136,12339.037289,15353.836979,-24314.459478
137,1174.094567,-47368.534104,787.039571
138,-2175.202139,-26848.927154,-26295.447090
139,-20406.137907,-42760.331279,-14439.695379
140,9926.189161,-3273.791716,-53630.186763
141,-16098.717998,-4147.173650,-49752.623185
142,41204.329791,-7092.947890,-3265.577257
143,29746.915428,19974.564893,-36042.603439
144,33840.903880,34382.774811,25402.498160
145,-10975.661461,22431.503449,-43813.245230
146,-21584.641033,-5264.416967,-34374.208753
147,-37872.162634,31148.607047,-15225.969667
148,-10413.139522,12815.756270,-45302.471496
149,-8162.318912,-17897.555691,14767.260159
150,14542.108966,27535.123177,22551.419078
151,3821.366358,-34008.653346,-47878.233439
152,-13061.369091,-7940.933488,53911.736837
153,-35617.048453,13517.756272,-6814.530576
154,-14213.515349,-29413.198455,-59390.414355
155,-22058.166778,36394.926020,4693.899873
156,-3652.767340,15134.682711,22753.381092
157,8293.123334,-5207.754871,20673.573058
158,-34588.257689,736.233092,-26085.944083
159,15630.583635,43063.031263,16186.955108
160,-9496.364498,-38586.402991,17637.032229
161,-41804.579834,45449.184904,-30183.442278
162,3922.438084,-13108.122784,-23798.770113
163,14806.087491,3446.203967,33675.332997
164,13714.361666,-25062.780628,-16728.327361
165,-33644.905430,7343.403080,21029.248198
166,-3109.813654,-13224.606432,730.598860
167,7986.043256,-1341.425230,-12821.594655
168,-21028.737918,-13065.109827,-46026.435993
169,14003.693799,30549.176374,23920.821806
170,-19380.605405,-2489.320609,10800.477729
171,-9193.308400,44598.368596,-18222.676139
172,-2688.731806,12305.524425,-50090.561021
173,12476.323527,-1720.052475,-8651.736629
174,8199.052983,31335.714116,-45068.431688
175,-9421.194374,-2167.075260,37644.464883
176,-17236.491952,5515.043081,15810.162490
177,23481.389859,-39900.837478,9066.887448
178,5560.970441,32272.070349,-23713.160426
179,9725.457637,-8997.634256,-58829.269346
180,3909.742078,-24721.302960,10123.821694
181,27727.538921,-24380.654496,-21112.466928
182,-43655.000086,42659.127696,24193.273105
183,-11515.753986,-13090.267358,-35112.958155
184,-23756.417898,12838.447859,-32854.019979
185,13266.255941,-2101.862019,-51409.228994
186,7754.583422,-38803.325982,-32514.537413
187,27598.999391,909.819269,-27350.338201
188,17030.038383,256.696130,29562.256850
189,-19636.283439,15708.410948,-3283.419746
190,6832.613052,-14335.347841,-35498.625032
191,25566.900863,-23733.389125,-4978.551011
192,-14765.862030,10863.205530,32229.581834
193,-17899.618071,9029.177325,30716.549792
194,32013.448163,5637.119790,-10857.004923
195,24205.959330,-36233.406501,19693.657252
196,-2764.672919,-36028.178159,19661.438858
197,-757.096909,4964.518230,-9452.785107
198,-11780.819811,-19293.425722,-46531.921083
199,30532.360229,-13954.537921,50160.483481
200,-13361.798501,3240.245228,21634.201016
201,-4451.917226,26445.086378,2665.607979
202,-5832.094567,-1719.082749,27814.840540
203,31901.257862,30730.095968,-13175.334747
204,-4950.166774,16988.176727,7889.328527
205,-37925.196647,-10690.905932,-30704.498023
206,-33.168657,-1280.821712,-14560.441609
207,-6973.381922,16974.475227,-21417.592698
208,7187.381182,-29085.166215,20878.336487
209,-3297.770705,3926.611624,27577.058676
210,-18968.455691,1819.771392,40587.262107
211,-3571.711750,-14138.569110,16677.652160
212,-909.875812,-34710.542623,2350.037349
213,19136.938495,-385.311681,-8691.542675
214,-5772.417779,18060.495020,-40442.028342
215,-3765.743967,1719.687281,-28094.280449
216,-248.726196,13907.832066,-42532.115291
217,15247.299163,12227.499164,14121.333620
218,6306.035062,8339.327308,47990.523334
219,27168.555500,481.034757,7270.834308
220,22109.255456,-12594.517439,24822.230427
221,1313.937056,15332.205777,-43553.694099
222,-8366.065154,1981.547420,-37948.223342
223,11279.598762,7543.928656,-14041.458405
224,23865.337274,-14584.783598,9538.127478
225,-9915.829349,6177.752687,-20183.783372
226,37139.232053,-24354.446251,-11292.847248
227,24192.340886,19850.780039,-13695.670588
228,-25116.356850,-5030.272623,-28043.844582
229,-2797.311499,-9041.287140,48681.715552
230,1962.913867,17819.135961,-51948.763789
231,-49610.263899,4055.663118,13152.700727
232,14232.851613,-5943.228579,38787.669583
233,-11368.658115,12478.329392,-15782.349594
234,-7287.893110,-18170.401096,-26315.852791
235,20850.433103,14933.245038,41072.180990
236,31113.697608,-2855.829727,21690.460683
237,-480.533563,10487.435237,56691.523417
238,-1255.391334,286.361001,-43161.254792
239,-6260.842497,-22355.103093,12600.076412
240,11108.902777,18116.931317,-17973.819403
241,-17552.282684,55315.752274,-13317.131412
242,4264.755610,-12415.006109,-26976.885656
243,-11982.562600,-26761.016814,3079.901343
244,-34409.860989,-5606.304542,-29060.390816
245,4870.025087,3460.326680,27340.618126
246,-9474.840271,44097.539608,-16762.338638
247,18092.078139,10157.990707,6688.410624
248,-3706.224120,-9247.193962,-13815.413527
249,39019.432106,11671.316711,-23994.751332
250,41899.046250,-35147.202790,2384.415899
251,-17794.825318,-2214.168346,-25034.895164
252,11491.951581,-14477.083013,-38967.876358
253,6795.356291,40030.075525,-15220.776328
254,31200.883813,9330.275956,-18878.395867
255,905.930746,3905.602097,-69533.593130
256,-9951.787140,2558.196364,1916.589592
257,13211.387813,5719.682102,41914.686816
258,-11885.917786,32128.629555,-57485.269996
259,6456.838866,-15171.857308,42600.839103
260,23810.200820,26668.836208,11775.535050
261,-20790.991142,-25962.404584,-3235.543384
262,-23442.172475,-3528.485472,-19978.959271
263,-6473.444678,-4915.171901,-18944.460603
264,-9972.198710,-10726.066358,11726.606924
265,24286.363049,4990.930962,45629.363226
266,8700.250443,-10043.142271,23851.518529
267,241.332415,-15110.237884,-42801.863690
268,6714.163002,15324.987901,-40862.966481
269,-15730.022588,-19510.113561,36998.724231
270,-3046.208395,-1309.831658,-40883.326968
271,-1741.519085,-14136.719945,30604.820579
272,37166.892118,10771.601699,-37654.963225
273,-9849.635433,9390.724301,-34508.457259
274,10780.787907,-3455.664127,15576.612754
275,30877.479384,-12994.290517,25209.430856
276,-10159.998049,-39542.019082,-3274.635635
277,-9137.959338,-20458.213822,32691.158298
278,-19564.920889,13932.713701,-26550.850443
279,29206.819927,-34302.117965,-19243.386039
