particle,pos_x,pos_y,pos_z
0,1909.617731,3696.290936,39466.091279
1,-10971.555490,-26903.793061,17378.183070
2,-2537.304924,44101.461418,-40773.182893
3,-89475.456407,23129.592620,-39656.417052
4,49896.171718,-53785.913330,-22371.076993
5,-30899.986925,-39519.890757,-11159.169810
6,2726.407459,-52298.934842,-43233.777098
7,32658.086229,16026.299589,21330.524191
8,-4355.322609,22096.625465,-5864.425230
9,-1699.443625,-1941.654654,-57974.215225
10,-5476.248916,-1115.229172,-28082.119845
11,21147.155805,-4414.037643,-48692.522374
12,138.969298,-7391.902841,-18317.876079
13,-14992.915144,-3872.612064,-4069.386119
14,-41585.093305,-31996.828644,-35133.223344
15,-34895.763427,-15269.727728,8922.571879
16,-7515.468490,-17625.035416,27986.376757
17,-33180.302307,68364.769182,32216.305350
18,-14375.654849,-17312.337454,-53106.835520
19,35835.314141,11346.207565,18557.602052
20,5822.142600,20509.476855,7142.243479
21,11520.980049,18521.771039,19980.541351
22,14544.912722,-9100.656262,1188.390798
23,-8560.346260,19675.354680,-19480.030080
24,-9867.495628,39190.395364,6150.353481
25,-44896.404576,31080.782825,-7648.637340
26,6134.224391,21312.914196,-63084.250750
27,24220.498298,28758.782831,23346.570274
28,-26490.212540,437.634481,-32615.770432
29,-42848.927959,-64943.742211,36071.632895
30,23680.586562,-38447.134460,-33193.203099
31,-19411.159370,-11963.691326,39218.467919
32,-56691.979284,-22660.016890,-5802.991841
33,-5220.229092,-3555.697578,-52306.879514
34,32091.389107,-33732.082662,40887.369415
35,-15552.158685,25805.827307,-73098.003875
36,-4678.738705,-24907.810568,-4558.899627
37,3212.053613,27412.348296,3584.993804
38,13439.194081,-2988.575531,-13365.726943
39,-54078.041405,-12794.777930,3740.966773
40,-46176.060085,-16720.394952,6217.603525
41,-28737.475755,-44338.802072,583.597864
42,30904.795256,-38625.929663,23763.412380
43,8820.475097,26754.844586,-35833.226665
44,-10176.067100,1394.440088,-10267.997140
45,-24246.154073,55053.117790,14890.524333
46,2638.752991,4678.872133,-30994.832166
47,14074.527770,6040.575865,-63602.083232
48,-5013.382154,-15484.475573,-1078.985291
49,38722.278179,6592.549217,13792.442547
50,10047.507222,-32610.502052,31919.620762
51,-9620.290041,-13843.494702,-400.795448
52,15060.125666,3194.982888,39334.613379
53,-13269.789817,8485.091779,251.860952
54,-48183.581113,-10609.601308,-16378.638242
55,-11273.577380,-725.876066,46062.682998
56,25050.313883,58050.083063,4640.807304
57,6511.880909,11335.564394,-469.561595
58,-10470.379029,-19828.619823,-58434.063615
59,16346.747173,21369.544124,28339.414687
60,-5266.683184,54748.392509,27401.908449
61,-16145.572377,32772.216998,2544.854556
62,-49761.695920,40632.471262,22341.437056
63,44800.855423,43710.226343,-11922.724966
64,11897.711126,43876.657960,1107.107510
65,-37900.928458,-13382.291933,-27946.033938
66,-44054.837307,-22000.611307,-38199.136593
67,-2490.641893,-4095.921294,-53238.189733
68,3628.551766,-7651.556821,35097.819481
69,8297.502513,-5691.827213,3583.753594
70,-18017.955279,-52087.318407,52882.794101
71,17123.555283,29990.795738,-36463.860819
72,-11927.691371,-7770.252883,33203.811830
73,-22744.334207,-16230.309545,-27974.463666
74,4457.080201,-13307.006134,-30454.165519
75,6118.302695,-33509.751774,10984.914124
76,-38885.499159,-49758.378020,-17995.790936
