step,total_pe
0,2117912118.367183
1000,2118159707.443819
2000,2118727408.822172
3000,2119642127.857802
4000,2120939835.275557
5000,2122578677.474004
6000,2124607053.476496
7000,2126953619.898549
8000,2129695525.326887
9000,2132776048.167668
10000,2136263667.025393
11000,2140187560.610622
12000,2144496197.985677
13000,2149219037.079280
14000,2154371903.665311
15000,2159958143.652344
16000,2165968966.650980
17000,2172427325.307118
18000,2179387617.136618
19000,2186840842.523737
20000,2194706317.801023
21000,2203149986.550995
22000,2212088123.020562
23000,2221577444.094279
24000,2231656126.700910
25000,2242272887.569646
26000,2253522932.292238
27000,2265356531.889336
28000,2277841517.391167
29000,2291045033.603513
30000,2304919541.502182
31000,2319516512.146084
32000,2334873039.833897
33000,2351062736.191040
34000,2368075069.162265
35000,2385996416.734769
36000,2404821469.826391
37000,2424576361.271698
38000,2445346303.044658
39000,2467247277.088082
40000,2490291275.744144
41000,2514485258.799996
42000,2539943604.460861
43000,2566818576.078857
44000,2595102056.043455
45000,2624879670.745635
46000,2656365515.859706
47000,2689497018.525798
48000,2724456726.119621
49000,2761439893.785541
50000,2800514291.734838
