step,total_vel_x,total_vel_y,total_vel_z
0,67.424269,52.988915,-96.528788
1000,67.567651,52.860993,-96.602638
2000,67.745395,52.723204,-96.697594
3000,67.906838,52.599618,-96.767363
4000,68.043591,52.353917,-96.815353
5000,68.254008,52.141157,-96.857058
6000,68.382343,51.926570,-96.998077
7000,68.398844,51.616392,-97.214032
8000,68.506690,51.389860,-97.425710
9000,68.608671,51.164466,-97.632454
10000,68.733379,51.007238,-97.857025
11000,68.933106,50.926597,-98.072986
12000,69.266199,50.869749,-98.265630
13000,69.567155,50.830960,-98.452111
14000,69.889902,50.814160,-98.598460
15000,70.351531,50.771186,-98.822021
16000,70.818244,50.738356,-99.013099
17000,71.234818,50.613787,-99.221913
18000,71.680867,50.535336,-99.368091
19000,72.084308,50.549219,-99.484902
20000,72.393882,50.668974,-99.675631
21000,72.681499,50.763771,-99.903935
22000,73.000319,50.862995,-100.119842
23000,73.392585,50.875209,-100.248421
24000,73.645265,50.817376,-100.325953
25000,73.951277,50.723833,-100.492563
26000,74.328927,50.788344,-100.602066
27000,74.624873,50.791321,-100.682924
28000,74.788105,50.805045,-100.686153
29000,75.076142,50.799493,-100.694384
30000,75.361483,50.797661,-100.624352
31000,75.652367,50.698669,-100.464575
32000,75.926425,50.627386,-100.342216
33000,76.175024,50.725049,-100.262870
34000,76.374331,50.806816,-100.235860
35000,76.668019,50.911141,-100.250327
36000,77.051444,50.933731,-100.261204
37000,77.403267,51.065553,-100.257184
38000,77.666199,51.094329,-100.153212
39000,77.755999,51.122856,-100.282600
40000,77.883936,51.315215,-100.324534
41000,77.842672,51.721815,-100.366651
42000,77.835373,52.065213,-100.399243
43000,77.928737,52.419537,-100.411456
44000,78.202315,52.778915,-100.482005
45000,78.352158,53.071496,-100.534490
46000,78.399365,53.243817,-100.438042
47000,78.322767,53.261531,-100.191263
48000,78.307419,53.067189,-99.843618
49000,78.314920,53.003238,-99.176481
50000,78.468833,52.896879,-98.776813
