step,total_ke
0,210056076.798876
1000,210180797.741033
2000,210467944.289912
3000,210930887.946049
4000,211587883.462223
5000,212417365.578214
6000,213443884.558260
7000,214630841.069900
8000,216016912.322733
9000,217573360.934203
10000,219335687.076086
11000,221317214.314715
12000,223491458.571285
13000,225874135.701858
14000,228471792.968368
15000,231285778.369254
16000,234312153.789032
17000,237561754.627894
18000,241060788.667099
19000,244807977.708809
20000,248796210.888214
21000,253034988.304971
22000,257521487.429134
23000,262283681.009151
24000,267339258.208714
25000,272661661.899573
26000,278299325.652695
27000,284227941.759480
28000,290481722.991533
29000,297094388.731169
30000,304041632.640852
31000,311352331.781395
32000,319041786.770374
33000,327145229.923236
34000,335658211.718773
35000,344624949.563962
36000,354040827.278681
37000,363917538.920852
38000,374298816.522641
39000,385243230.369327
40000,396753649.332991
41000,408837826.839973
42000,421551819.803291
43000,434969028.728359
44000,449085346.313795
45000,463944167.100408
46000,479652042.244209
47000,496171847.770203
48000,513596135.471206
49000,532021854.431700
50000,551481856.872094
