step,total_ke
0,5238411418.050758
1000,5237175551.387372
2000,5233469607.299946
3000,5227512987.474513
4000,5219513289.378070
5000,5209668674.167428
6000,5198262867.025271
7000,5185383841.341041
8000,5171231444.547768
9000,5155973200.780976
10000,5139741070.511144
11000,5122728349.199433
12000,5105037034.649608
13000,5086820270.189449
14000,5068200498.430701
15000,5049359248.231199
16000,5030349214.519072
17000,5011347783.915503
18000,4992432021.520874
19000,4973709737.843073
20000,4955226096.934129
21000,4937088647.124895
22000,4919348463.115602
23000,4902041833.742795
24000,4885201724.347040
25000,4868826486.214355
