step,total_pe
0,2124260984.272448
1000,2121759179.170693
2000,2114278891.829964
3000,2102302223.093216
4000,2086251934.694521
5000,2066535801.291467
6000,2043725321.603890
7000,2018000074.930295
8000,1989752331.348511
9000,1959322619.328810
10000,1926964244.856667
11000,1893057490.992116
12000,1857803240.196764
13000,1821505739.975170
14000,1784403260.565017
15000,1746854487.730345
16000,1708958046.785707
17000,1671077589.000720
18000,1633361813.799830
19000,1596032089.975506
20000,1559169463.126912
21000,1522988009.553218
22000,1487598466.574396
23000,1453067396.744028
24000,1419465017.620976
25000,1386786146.199606
