step,total_vel_x,total_vel_y,total_vel_z
0,2151.771019,1476.656670,584.794896
1000,2151.786449,1476.688843,584.762838
2000,2151.850623,1476.783775,584.755934
3000,2151.909171,1476.877600,584.818443
4000,2151.936005,1477.053949,584.802019
5000,2151.964275,1477.138658,584.923676
6000,2151.918279,1477.180703,585.007541
7000,2151.884191,1477.217994,585.043672
8000,2151.889974,1477.109876,585.037649
9000,2151.875354,1477.091187,584.953666
10000,2151.845908,1477.119975,584.986539
11000,2151.713489,1477.026631,584.965198
12000,2151.605582,1476.984359,584.929687
13000,2151.500870,1476.895265,584.999835
14000,2151.410895,1476.834604,585.003253
15000,2151.335540,1476.866763,585.034184
16000,2151.242662,1476.925636,585.106078
17000,2151.293487,1476.994203,585.146153
18000,2151.445127,1477.025578,585.199651
19000,2151.580406,1477.069250,585.173080
20000,2151.619401,1477.105387,585.221819
21000,2151.643208,1477.101875,585.347634
22000,2151.677538,1477.112032,585.413131
23000,2151.638764,1477.141169,585.496536
24000,2151.577096,1477.128466,585.585648
25000,2151.545202,1477.100660,585.657249
