step,total_ke
0,0.213230
1000,1046488.589157
2000,888272079.398734
3000,2276212713.778654
4000,6375454154.384326
5000,9636911194.966360
6000,12881312466.402168
7000,15261494970.632650
8000,16660845279.330696
9000,17015433156.611563
10000,18096867953.015923
11000,18769732018.853806
12000,19384550454.588924
13000,19596625843.908512
14000,19767054756.437767
15000,20415134527.803619
16000,20628181893.701969
17000,20717832771.429134
18000,20817469442.957306
19000,21144663172.883854
20000,21452027602.086475
21000,21531161466.177692
22000,21544251870.020664
23000,21555309455.453613
24000,21579443708.865627
25000,21589643556.886787
26000,21613227066.877365
27000,21631666477.938118
28000,21689150085.215389
29000,21703896219.928112
30000,21714670472.806450
31000,21729481687.100769
32000,21747776638.207233
33000,21760997580.279526
34000,21774916414.127361
35000,21801305885.283955
36000,21815656874.895058
37000,21831575240.215370
38000,21846375184.402248
39000,21862312205.543285
40000,21880595543.413799
41000,21900806613.946671
42000,21962744248.563705
43000,21985589539.898312
44000,22014013696.902946
45000,22038874598.007500
46000,22066294014.720028
47000,22098403899.638519
48000,22132710569.322193
49000,22167446933.199139
50000,22209166694.432091
