step,total_pe
0,2118948086.331340
1000,2119396902.116016
2000,2120059532.083509
3000,2121053565.788505
4000,2121944072.518623
5000,2121756775.670444
6000,2121361149.160139
7000,2121277437.409751
8000,2121596614.119248
9000,2122646526.484805
10000,2123989837.378870
11000,2126298114.989326
12000,2127910767.417370
13000,2130488274.578313
14000,2133677157.495253
15000,2137717328.654886
16000,2142042269.239664
17000,2147135327.644410
18000,2152015220.590265
19000,2158312727.972215
20000,2165249028.200660
21000,2172260265.326921
22000,2180659750.087468
23000,2189315294.230884
24000,2199261277.707388
25000,2209938386.636813
26000,2221794105.631937
27000,2234852325.812610
28000,2248787830.362765
29000,2263645242.554669
30000,2279963773.216960
31000,2297395569.690186
32000,2316331749.171094
33000,2336286226.960107
34000,2358212585.386609
35000,2381381692.741992
36000,2406665121.260661
37000,2433472729.076294
38000,2461783560.671875
39000,2492876125.336164
40000,2526354303.717970
41000,2562376052.715307
42000,2601450250.265010
43000,2643593202.602242
44000,2688992780.150198
45000,2738390340.147192
46000,2791848729.817134
47000,2850488706.533514
48000,2914555681.664906
49000,2984668538.644518
50000,3062064936.614416
