step,total_ke
0,1.333021
1000,21597898.480270
2000,394137072.372946
3000,487108703.396901
4000,1246549741.223703
5000,3896843809.493745
6000,6880922744.817019
7000,7400040591.553844
8000,8421371056.126665
9000,9226773633.923695
10000,9633345749.531347
11000,10248187866.804586
12000,10501564443.661346
13000,10737642087.573339
14000,11575437403.357948
15000,11653320009.050846
16000,12037140268.376194
17000,12101435737.880444
18000,12189233965.888668
19000,12250944612.636259
20000,12296311663.722517
21000,12321612874.521614
22000,12344133355.240713
23000,12358359858.395884
24000,12385910919.546785
25000,12398425042.448345
