step,total_pe
0,2118412555.425214
1000,2118742824.602412
2000,2119596903.010615
3000,2120909443.092329
4000,2122680110.063699
5000,2124303132.494411
6000,2125614019.256403
7000,2127174730.741842
8000,2129233424.386289
9000,2131515452.820062
10000,2133972860.938916
11000,2137030420.117807
12000,2140492455.008147
13000,2143995232.585528
14000,2148369508.561503
15000,2152444864.341823
16000,2157546358.464189
17000,2162878740.225065
18000,2169072919.095721
19000,2176104395.796177
20000,2183539995.690696
21000,2191806829.551302
22000,2201007710.286790
23000,2210602966.366405
24000,2221599268.302452
25000,2233063564.800115
