step,total_vel_x,total_vel_y,total_vel_z
0,0.017907,-0.002485,0.000000
1000,0.026445,0.028608,0.161663
2000,0.016443,0.054584,0.324160
3000,-0.004184,0.052320,0.468301
4000,-0.050027,0.055286,0.574175
5000,-0.094717,0.008619,0.629562
6000,-0.109307,0.022466,0.761773
7000,-0.196218,0.053378,0.915022
8000,-0.259810,0.019897,1.115042
9000,-0.326809,0.004248,1.284317
10000,-0.269901,-0.083341,1.449251
11000,-0.240500,-0.115765,1.477282
12000,-0.239024,-0.129034,1.484774
13000,-0.247854,-0.103965,1.480496
14000,-0.295631,0.007291,1.548808
15000,-0.251007,0.063748,1.582614
16000,-0.222562,0.152273,1.550636
17000,-0.172072,0.427881,1.573960
18000,-0.301874,0.465725,1.720891
19000,-0.264620,0.520608,1.883935
20000,-0.180392,0.703105,1.982230
21000,-0.142719,0.757331,2.211778
22000,-0.098939,0.705130,2.412519
23000,-0.320479,0.745037,2.832151
24000,-0.474276,0.579343,3.331593
25000,-0.100888,0.488290,3.496300
