step,total_ke
0,209412561.519280
1000,209511751.566355
2000,209785313.320345
3000,210260404.463875
4000,210902951.230027
5000,211729375.998251
6000,212706929.190590
7000,213911751.779573
8000,215305209.249344
9000,216882605.820997
10000,218681964.341815
11000,220677564.532774
12000,222877075.084790
13000,225297503.265377
14000,227932266.511246
15000,230789164.347189
16000,233873988.029965
17000,237173982.168060
18000,240707622.836722
19000,244496590.087070
20000,248550367.636696
21000,252857265.581790
22000,257430082.101512
23000,262272216.718121
24000,267617790.999844
25000,273074901.778609
26000,278797626.974569
27000,284839175.097529
28000,291220100.760969
29000,297948987.064057
30000,305041276.095397
31000,312500288.400864
32000,320388930.325998
33000,328659030.331154
34000,337347570.941861
35000,346494149.942461
36000,356114630.237033
37000,366220937.791665
38000,376838488.852862
39000,388002435.571535
40000,399776117.356465
41000,412177306.414408
42000,425201357.686697
43000,438940490.813780
44000,453386082.640420
45000,468644974.822721
46000,484751057.621663
47000,501735751.632585
48000,519660491.640373
49000,538567535.912182
50000,558580690.464914
