step,total_vel_x,total_vel_y,total_vel_z
0,-72.557298,458.620210,-111.110192
1000,-72.703982,458.537887,-111.101610
2000,-72.915340,458.455385,-111.033122
3000,-73.113322,458.457830,-110.912705
4000,-73.367388,458.445805,-110.770125
5000,-73.659970,458.391810,-110.718035
6000,-74.027929,458.267631,-110.688376
7000,-74.336940,458.206221,-110.633417
8000,-74.686259,458.097079,-110.660776
9000,-75.072234,458.041874,-110.618279
10000,-75.446943,457.967694,-110.550662
11000,-75.809298,457.827465,-110.508176
12000,-76.152712,457.734536,-110.499712
13000,-76.508030,457.637000,-110.350085
14000,-76.877840,457.525602,-110.240726
15000,-77.237066,457.353876,-110.113484
16000,-77.590776,457.239832,-110.014736
17000,-77.890922,457.087732,-109.908362
18000,-78.251323,456.968487,-109.751379
19000,-78.581542,456.816615,-109.588194
20000,-78.803503,456.515884,-109.431211
21000,-79.083385,456.182671,-109.189253
22000,-79.270815,455.972903,-108.969180
23000,-79.470583,455.766857,-108.825435
24000,-79.736045,455.565573,-108.818449
25000,-80.054005,455.281932,-108.734864
26000,-80.320161,454.970864,-108.568554
27000,-80.412472,454.643611,-108.501247
28000,-80.587565,454.519429,-108.528215
29000,-80.667912,454.441512,-108.582349
30000,-80.778305,454.484185,-108.503699
31000,-80.945587,454.380019,-108.473299
32000,-81.198357,454.338797,-108.613346
33000,-81.523841,454.182993,-108.743198
34000,-81.634768,454.026514,-108.924258
35000,-81.721829,453.796687,-109.104113
36000,-81.720729,453.580161,-109.286026
37000,-81.695891,453.434438,-109.489431
38000,-81.715700,453.396494,-109.697456
39000,-81.795989,453.469657,-109.993504
40000,-81.728799,453.540435,-110.136951
41000,-81.830438,453.597418,-110.275174
42000,-81.879196,453.568124,-110.243163
43000,-81.851562,453.332028,-110.204777
44000,-81.961817,453.330654,-110.261305
45000,-82.009543,453.269156,-110.394758
46000,-82.111599,453.228053,-110.513238
47000,-82.072719,453.206516,-110.537554
48000,-82.235498,453.159046,-110.541170
49000,-82.411886,453.025729,-110.651439
50000,-82.667222,452.932817,-110.783207
