,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.52,0.4,0.04,0.48,0.01
1,1.0,0.52,0.4,0.04,0.48,0.01
2,2.0,0.53,0.4,0.04,0.48,0.01
3,3.0,0.54,0.4,0.04,0.44,0.01
4,4.0,0.54,0.4,0.04,0.44,0.01
5,5.0,0.54,0.4,0.04,0.44,0.01
6,6.0,0.54,0.4,0.04,0.44,0.01
7,7.0,0.55,0.4,0.04,0.44,0.01
8,8.0,0.55,0.4,0.04,0.4,0.04
9,9.0,0.56,0.4,0.04,0.4,0.04
10,10.0,0.56,0.4,0.04,0.4,0.04
11,11.0,0.56,0.4,0.04,0.36,0.08
12,12.0,0.56,0.36,0.08,0.36,0.08
13,13.0,0.57,0.36,0.08,0.36,0.08
14,14.0,0.57,0.36,0.08,0.36,0.08
15,15.0,0.58,0.36,0.08,0.36,0.08
16,16.0,0.58,0.36,0.08,0.36,0.08
17,17.0,0.6,0.36,0.08,0.36,0.08
18,18.0,0.61,0.32,0.16,0.36,0.08
19,19.0,0.62,0.32,0.16,0.32,0.16
20,20.0,0.62,0.32,0.16,0.32,0.16
21,21.0,0.63,0.32,0.16,0.32,0.16
22,22.0,0.63,0.32,0.16,0.32,0.16
23,23.0,0.64,0.32,0.16,0.28,0.29
24,24.0,0.65,0.28,0.29,0.28,0.29
25,25.0,0.66,0.28,0.29,0.28,0.29
26,26.0,0.67,0.28,0.29,0.28,0.29
27,27.0,0.67,0.28,0.29,0.28,0.29
28,28.0,0.69,0.32,0.16,0.28,0.29
29,29.0,0.7,0.32,0.16,0.24,0.48
30,30.0,0.71,0.28,0.29,0.24,0.48
31,31.0,0.72,0.28,0.29,0.24,0.48
32,32.0,0.73,0.28,0.29,0.24,0.48
33,33.0,0.73,0.28,0.29,0.24,0.48
34,34.0,0.74,0.28,0.29,0.24,0.48
35,35.0,0.76,0.28,0.29,0.24,0.48
36,36.0,0.77,0.28,0.29,0.24,0.48
37,37.0,0.78,0.28,0.29,0.24,0.48
38,38.0,0.79,0.28,0.29,0.24,0.48
39,39.0,0.8,0.28,0.29,0.24,0.48
40,40.0,0.81,0.28,0.29,0.24,0.48
41,41.0,0.81,0.32,0.16,0.24,0.48
42,42.0,0.82,0.32,0.16,0.24,0.48
43,43.0,0.83,0.32,0.16,0.24,0.48
44,44.0,0.84,0.32,0.16,0.24,0.48
45,45.0,0.86,0.32,0.16,0.24,0.48
46,46.0,0.88,0.32,0.16,0.24,0.48
47,47.0,0.89,0.32,0.16,0.24,0.48
48,48.0,0.9,0.32,0.16,0.24,0.48
49,49.0,0.91,0.32,0.16,0.24,0.48
50,50.0,0.92,0.32,0.16,0.24,0.48
