step,total_vel_x,total_vel_y,total_vel_z
0,-0.002567,0.038643,0.000000
1000,0.185959,0.025875,0.304150
2000,0.369698,0.013420,0.609440
3000,0.548559,-0.030847,0.919958
4000,0.753279,-0.072956,1.202219
5000,0.896951,-0.089780,1.481700
6000,1.060810,-0.022779,1.823099
7000,1.183164,-0.065334,2.118494
8000,1.302643,-0.181473,2.403947
9000,1.426011,-0.310834,2.682181
10000,1.602463,-0.559542,3.092892
11000,1.747920,-0.641799,3.543249
12000,1.948206,-0.780629,3.985109
13000,2.148782,-0.915529,4.359659
14000,2.307400,-1.045726,4.825997
15000,2.477322,-1.145108,5.423424
16000,2.620504,-1.255020,5.957348
17000,2.764655,-1.299955,6.429067
18000,2.780882,-1.424515,6.991872
19000,2.694599,-1.398873,7.500121
20000,2.653855,-1.444906,8.043212
21000,2.742791,-1.496827,8.554586
22000,2.722446,-1.557739,9.166020
23000,2.882167,-1.360287,9.684280
24000,2.952533,-1.257926,10.338596
25000,3.040909,-1.198747,10.919391
