step,total_ke
0,1.924102
1000,33603829.578922
2000,1257597849.996550
3000,3298862551.119618
4000,5159283461.459360
5000,7913187161.746626
6000,8966259168.974981
7000,9944451611.500685
8000,11275772540.842447
9000,12052359652.384354
10000,12802392996.744053
11000,13076612339.831465
12000,14076760317.901096
13000,14488957130.967934
14000,14932362144.220301
15000,15125850072.701292
16000,15578192309.662100
17000,16104734605.484606
18000,16139008622.808104
19000,16159036515.653351
20000,16265528700.202291
21000,16365827401.045977
22000,16375532496.539726
23000,16406403709.949036
24000,16445892101.002905
25000,16461271088.230103
