step,total_pe
0,2115161181.830032
1000,2115520491.820367
2000,2116197061.841619
3000,2116574839.959454
4000,2117318001.104749
5000,2117949106.213412
6000,2118609845.856891
7000,2120042487.017873
8000,2120766217.676331
9000,2122521518.624547
10000,2125051624.682371
11000,2127689139.021078
12000,2129913623.729187
13000,2132533469.804106
14000,2135907751.564750
15000,2140003957.804816
16000,2144704853.634746
17000,2149276036.313815
18000,2154619130.090502
19000,2161368231.151955
20000,2168739222.765399
21000,2175800240.263965
22000,2184236637.087015
23000,2193861597.061996
24000,2204167627.421486
25000,2215261381.530379
