step,total_ke
0,5253637459.849444
1000,5252281382.823391
2000,5248350207.413272
3000,5242207490.151734
4000,5233989324.170188
5000,5223981189.565627
6000,5212403096.771199
7000,5199387695.885962
8000,5185119038.397923
9000,5169798765.158577
10000,5153567868.770096
11000,5136510328.301711
12000,5118810970.546530
13000,5100618909.353413
14000,5082063088.248404
15000,5063227503.857904
16000,5044288540.029293
17000,5025374973.170135
18000,5006532280.643380
19000,4987870002.560043
20000,4969480216.038285
21000,4951431366.287031
22000,4933764361.017458
23000,4916527289.574301
24000,4899728476.140997
25000,4883423753.452240
