step,total_pe
0,2120300047.684727
1000,2117550456.070385
2000,2109628663.469089
3000,2097290355.732297
4000,2080815227.264354
5000,2060781015.811623
6000,2037632529.984961
7000,2011627362.231410
8000,1983152668.062949
9000,1952596569.337085
10000,1920246309.486864
11000,1886267738.881732
12000,1851008359.517981
13000,1814769002.275251
14000,1777795915.452325
15000,1740268742.973235
16000,1702520231.195082
17000,1664813949.529044
18000,1627231824.579382
19000,1589999368.309126
20000,1553304129.767147
21000,1517281351.050165
22000,1482009613.751974
23000,1447598432.438102
24000,1414058867.659130
25000,1381507607.406634
