step,total_pe
0,2119492598.910746
1000,2117441107.407035
2000,2110318220.366736
3000,2098670176.316865
4000,2082903171.232542
5000,2063421488.939467
6000,2040580397.873247
7000,2014942814.407844
8000,1986722819.238273
9000,1956261293.670105
10000,1923876318.035702
11000,1889938900.448293
12000,1854456177.926573
13000,1817975068.456221
14000,1780673602.847831
15000,1742862695.158162
16000,1704781803.447558
17000,1666709536.342499
18000,1628807694.373181
19000,1591339803.812418
20000,1554374982.219177
21000,1518110957.154161
22000,1482617604.074053
23000,1448031543.965754
24000,1414357190.911572
25000,1381680488.930966
26000,1349972018.148304
27000,1319298735.684279
28000,1289608750.221788
29000,1260946723.079104
30000,1233252529.198535
31000,1206498222.567536
32000,1180665784.954763
33000,1155730209.708486
34000,1131666270.730862
35000,1108445371.267670
36000,1086024705.818311
37000,1064405583.071700
38000,1043541300.067746
39000,1023362038.141588
40000,1003864218.082340
41000,985045508.292143
42000,966843423.915511
43000,949224690.428669
44000,932210796.517082
45000,915731503.268282
46000,899790908.952175
47000,884360951.002491
48000,869399628.469345
49000,854906558.277385
50000,840865574.154451
