step,total_vel_x,total_vel_y,total_vel_z
0,-53.741523,-136.199742,-1202.994219
1000,-53.643916,-136.200488,-1202.890355
2000,-53.395189,-136.330866,-1202.770368
3000,-53.143416,-136.509328,-1202.753781
4000,-53.058701,-136.616251,-1202.750642
5000,-52.969869,-136.606972,-1202.742048
6000,-53.036654,-136.635355,-1202.814141
7000,-53.085029,-136.679449,-1202.838573
8000,-53.105298,-136.639489,-1202.838032
9000,-53.241059,-136.602268,-1202.871484
10000,-53.473932,-136.648457,-1202.904197
11000,-53.650895,-136.707838,-1202.862170
12000,-53.738761,-136.760919,-1202.784480
13000,-53.847203,-136.759492,-1202.599173
14000,-54.005267,-136.846014,-1202.523903
15000,-54.114505,-136.984349,-1202.470741
16000,-54.221923,-137.082780,-1202.470149
17000,-54.353341,-137.107421,-1202.536452
18000,-54.495186,-137.251938,-1202.605342
19000,-54.554025,-137.329607,-1202.590462
20000,-54.606988,-137.366341,-1202.575929
21000,-54.654334,-137.387771,-1202.481792
22000,-54.673065,-137.418513,-1202.426590
23000,-54.693933,-137.496376,-1202.408418
24000,-54.659966,-137.575774,-1202.316874
25000,-54.629401,-137.653617,-1202.256127
26000,-54.561417,-137.726354,-1202.255537
27000,-54.553511,-137.849961,-1202.239028
28000,-54.591132,-137.895584,-1202.218909
29000,-54.578110,-137.934543,-1202.203836
30000,-54.539537,-137.936080,-1202.194095
31000,-54.513405,-137.851093,-1202.204865
32000,-54.472282,-137.773995,-1202.212233
33000,-54.452912,-137.727653,-1202.161412
34000,-54.451645,-137.690826,-1202.122134
35000,-54.468981,-137.641741,-1202.112244
36000,-54.494651,-137.565725,-1202.135418
37000,-54.520640,-137.485567,-1202.158487
38000,-54.562041,-137.398798,-1202.215429
39000,-54.571571,-137.321813,-1202.274801
40000,-54.576228,-137.277786,-1202.323303
41000,-54.594949,-137.248381,-1202.376907
42000,-54.620391,-137.219023,-1202.414860
43000,-54.626784,-137.157698,-1202.447380
44000,-54.633335,-137.053011,-1202.458828
45000,-54.609117,-136.998677,-1202.479212
46000,-54.597451,-136.949082,-1202.504382
47000,-54.587825,-136.881193,-1202.521248
48000,-54.588550,-136.782140,-1202.505112
49000,-54.621880,-136.674731,-1202.477093
50000,-54.674308,-136.579389,-1202.452992
