step,total_ke
0,5295325157.448932
1000,5294320722.152048
2000,5290787825.131756
3000,5284995337.022530
4000,5277135487.027983
5000,5267407917.802692
6000,5255984754.764488
7000,5243152668.196976
8000,5229018640.520293
9000,5213747756.834346
10000,5197502516.164890
11000,5180471078.558635
12000,5162658400.554273
13000,5144348231.243310
14000,5125626828.044662
15000,5106651175.844456
16000,5087542107.352622
17000,5068439974.817326
18000,5049428561.009889
19000,5030638556.221848
20000,5012105693.526142
21000,4993927149.142457
22000,4976136013.671867
23000,4958800416.562765
24000,4941922422.220383
25000,4925547544.497621
26000,4909659229.165501
27000,4894291302.202837
28000,4879413097.016483
29000,4865047747.854595
30000,4851166286.827833
31000,4837752392.711725
32000,4824798522.211109
33000,4812291390.836554
34000,4800216572.389163
35000,4788558578.613996
36000,4777298760.233820
37000,4766437513.565660
38000,4755950848.193835
39000,4745804584.876930
40000,4735998229.945590
41000,4726532048.446314
42000,4717374092.376021
43000,4708506286.030724
44000,4699941397.492323
45000,4691645205.270467
46000,4683619992.957383
47000,4675852057.516862
48000,4668319792.998543
49000,4661023969.785983
50000,4653956428.650105
