step,total_ke
0,209147360.077744
1000,209231490.247927
2000,209508110.336198
3000,209953376.146834
4000,210572626.032062
5000,211365688.126262
6000,212351701.454516
7000,213537890.669845
8000,214901408.390128
9000,216450982.511360
10000,218199904.003425
11000,220163819.681869
12000,222313624.494085
13000,224701557.498042
14000,227284643.902879
15000,230089565.242307
16000,233123719.342188
17000,236378191.112546
18000,239859328.590747
19000,243585777.401796
20000,247572663.602609
21000,251810681.959539
22000,256312688.120083
23000,261077307.662808
24000,266136108.506540
25000,271487676.159123
26000,277121996.141080
27000,283075768.079893
28000,289375028.116008
29000,296005672.550856
30000,303219674.499951
31000,310566367.813937
32000,318296149.122397
33000,326443088.754297
34000,335019282.769508
35000,344039046.871123
36000,353520359.886372
37000,363468720.855751
38000,373957073.452858
39000,384964132.598584
40000,396651647.859750
41000,408838200.239048
42000,421661902.802496
43000,435178933.722300
44000,449427168.196232
45000,464463154.287731
46000,480333873.567242
47000,497055109.689481
48000,514704068.250410
49000,533347690.505805
50000,553078772.776278
