step,total_pe
0,2118038274.316448
1000,2118205579.850313
2000,2118751995.357381
3000,2119632008.368623
4000,2120855339.475416
5000,2122421807.170721
6000,2124368677.517008
7000,2126712028.888536
8000,2129406900.156289
9000,2132470426.261233
10000,2135931205.638730
11000,2139820624.210558
12000,2144080761.064132
13000,2148816029.628045
14000,2153941597.594859
15000,2159509390.570668
16000,2165534202.627522
17000,2171998449.010403
18000,2178917564.556755
19000,2186329663.022042
20000,2194263125.725980
21000,2202700645.562528
22000,2211667116.534914
23000,2221159539.919223
24000,2231241235.266961
25000,2241909244.863632
26000,2253147554.809816
27000,2265027053.487354
28000,2277598885.981570
29000,2290838033.062093
30000,2304803519.086083
31000,2319479024.193729
32000,2334924708.156991
33000,2351211175.008967
34000,2368360487.518380
35000,2386402894.475478
36000,2405371020.264472
37000,2425284530.207443
38000,2446291767.526617
39000,2468348681.266214
40000,2491548805.508571
41000,2515992018.778404
42000,2541715968.078241
43000,2568828994.267582
44000,2597409290.427710
45000,2627571453.823413
46000,2659416013.648755
47000,2692983200.663959
48000,2728429297.651054
49000,2765893547.172207
50000,2805557611.611525
