,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.51,0.36,0.08,0.48,0.01
1,1.0,0.51,0.4,0.04,0.44,0.01
2,2.0,0.5,0.4,0.04,0.4,0.04
3,3.0,0.52,0.32,0.16,0.36,0.08
4,4.0,0.53,0.32,0.16,0.32,0.16
5,5.0,0.54,0.32,0.16,0.28,0.29
6,6.0,0.55,0.36,0.08,0.28,0.29
7,7.0,0.57,0.28,0.29,0.24,0.48
8,8.0,0.59,0.28,0.29,0.2,0.71
9,9.0,0.59,0.32,0.16,0.2,0.71
10,10.0,0.6,0.32,0.16,0.16,0.91
11,11.0,0.63,0.28,0.29,0.16,0.91
12,12.0,0.64,0.28,0.29,0.16,0.91
13,13.0,0.67,0.24,0.48,0.12,1.0
14,14.0,0.69,0.28,0.29,0.12,1.0
15,15.0,0.73,0.24,0.48,0.08,1.0
16,16.0,0.78,0.24,0.48,0.08,1.0
17,17.0,0.84,0.24,0.48,0.12,1.0
18,18.0,0.87,0.24,0.48,0.08,1.0
19,19.0,0.92,0.24,0.48,0.12,1.0
20,20.0,0.94,0.2,0.71,0.12,1.0
21,21.0,1.0,0.2,0.71,0.12,1.0
22,22.0,1.07,0.2,0.71,0.12,1.0
23,23.0,1.12,0.24,0.48,0.12,1.0
24,24.0,1.24,0.24,0.48,0.16,0.91
25,25.0,1.33,0.24,0.48,0.12,1.0
26,26.0,1.48,0.2,0.71,0.12,1.0
27,27.0,1.61,0.24,0.48,0.16,0.91
28,28.0,1.84,0.24,0.48,0.16,0.91
29,29.0,2.13,0.24,0.48,0.16,0.91
30,30.0,2.62,0.28,0.29,0.16,0.91
31,31.0,3.22,0.24,0.48,0.16,0.91
32,32.0,4.06,0.24,0.48,0.2,0.71
33,33.0,5.71,0.24,0.48,0.2,0.71
34,34.0,9.47,0.24,0.48,0.24,0.48
35,35.0,16.01,0.28,0.29,0.28,0.29
36,36.0,30.5,0.24,0.48,0.52,0.0
37,37.0,864.93,0.28,0.29,0.52,0.0
38,38.0,37814931.43,0.28,0.29,0.52,0.0
39,39.0,229271263.79,0.28,0.29,0.52,0.0
40,40.0,95517697.01,0.24,0.48,0.52,0.0
41,41.0,181789227.11,0.28,0.29,0.56,0.0
42,42.0,188593005.21,0.24,0.48,0.52,0.0
43,43.0,210557410.56,0.24,0.48,0.6,0.0
44,44.0,176494440.71,0.28,0.29,0.52,0.0
45,45.0,210757230.0,0.28,0.29,0.52,0.0
46,46.0,326674728.65,0.28,0.29,0.52,0.0
47,47.0,202687722.87,0.24,0.48,0.56,0.0
48,48.0,164136816.47,0.24,0.48,0.56,0.0
49,49.0,159633213.96,0.28,0.29,0.56,0.0
50,50.0,58330486.75,0.28,0.29,0.6,0.0
