step,total_ke
0,210229895.928777
1000,210346345.261704
2000,210636463.684077
3000,211111203.149383
4000,211753174.721555
5000,212568006.206521
6000,213582486.816201
7000,214758929.658311
8000,216144779.597506
9000,217707652.867399
10000,219459541.206391
11000,221422927.020729
12000,223588511.771742
13000,225962108.375709
14000,228550661.507018
15000,231350464.040540
16000,234363625.512757
17000,237610442.781888
18000,241085936.499782
19000,244786826.215588
20000,248760666.370524
21000,252967563.046943
22000,257447032.189406
23000,262225157.415288
24000,267246639.820765
25000,272546811.453945
26000,278173633.377630
27000,284106364.021926
28000,290368351.674596
29000,296956228.638198
30000,303904802.892244
31000,311206657.140908
32000,318891533.135151
33000,326992839.557868
34000,335508957.937761
35000,344460170.689122
36000,353875743.985641
37000,363777938.367931
38000,374188338.461778
39000,385129308.540797
40000,396623220.018474
41000,408725088.816397
42000,421442651.794145
43000,434837962.570673
44000,448918297.546353
45000,463758039.257431
46000,479410858.894577
47000,495914186.483974
48000,513291154.497768
49000,531654839.673442
50000,551053926.027557
