step,total_vel_x,total_vel_y,total_vel_z
0,-107.998170,113.657941,-59.658729
1000,-107.997903,113.396278,-59.564628
2000,-107.949069,113.138471,-59.444567
3000,-107.899591,112.920848,-59.365479
4000,-107.907996,112.717408,-59.266512
5000,-107.892778,112.561736,-59.071477
6000,-107.851957,112.442053,-58.905631
7000,-108.000847,112.348152,-58.681885
8000,-108.095796,112.290904,-58.449789
9000,-108.232886,112.289571,-58.251999
10000,-108.250212,112.369233,-58.049413
11000,-108.137239,112.439760,-57.864312
12000,-108.139223,112.443467,-57.564241
13000,-108.174077,112.422890,-57.358194
14000,-108.119567,112.349097,-57.161815
15000,-107.984131,112.318361,-57.027265
16000,-107.820015,112.336549,-56.827312
17000,-107.714815,112.373910,-56.552735
18000,-107.561348,112.426661,-56.377356
19000,-107.440471,112.497327,-56.332796
20000,-107.388944,112.602224,-56.355568
21000,-107.198074,112.768321,-56.497588
22000,-107.059155,112.846628,-56.629465
23000,-106.927275,113.008172,-56.772635
24000,-106.722827,113.268997,-56.760382
25000,-106.479921,113.307598,-56.765514
26000,-106.218233,113.306830,-56.874492
27000,-105.971682,113.422819,-56.881580
28000,-105.756141,113.374000,-56.852186
29000,-105.486031,113.193901,-56.780427
30000,-105.388698,113.026713,-56.695081
31000,-105.240962,112.817314,-56.675001
32000,-105.046879,112.602637,-56.744889
33000,-104.672847,112.462588,-56.695713
34000,-104.461540,112.254468,-56.655934
35000,-104.097085,111.994811,-56.706318
36000,-103.735747,111.723571,-56.659435
37000,-103.517572,111.377082,-56.644382
38000,-103.448259,111.008261,-56.664912
39000,-103.434746,110.522125,-56.771416
40000,-103.207689,110.176025,-56.969711
41000,-103.094143,109.765321,-57.161660
42000,-103.124880,109.403985,-57.444370
43000,-103.150958,109.054951,-57.719830
44000,-103.215558,108.732167,-57.729740
45000,-103.284485,108.454644,-57.787604
46000,-103.456470,108.140203,-57.931131
47000,-103.555377,107.683010,-58.214097
48000,-103.535646,107.135209,-58.692802
49000,-103.458017,106.692095,-59.410511
50000,-103.345508,106.013992,-59.878403
