step,total_pe
0,2117581463.052327
1000,2117808559.430043
2000,2118377833.034124
3000,2119311605.853009
4000,2120575613.491567
5000,2122180142.036488
6000,2124177726.944767
7000,2126493056.105650
8000,2129223958.811856
9000,2132305976.718792
10000,2135764584.613035
11000,2139644302.235921
12000,2143926360.964415
13000,2148622093.189895
14000,2153747770.623639
15000,2159297293.183125
16000,2165274030.627825
17000,2171718824.579305
18000,2178620356.572657
19000,2185972567.816557
20000,2193870947.999786
21000,2202235515.529784
22000,2211145780.680085
23000,2220655656.981297
24000,2230656182.204518
25000,2241213505.389532
26000,2252421973.843426
27000,2264243829.255229
28000,2276727663.269454
29000,2289863721.449695
30000,2303720041.057864
31000,2318285973.778571
32000,2333623401.765469
33000,2349798444.951611
34000,2366808065.025915
35000,2384692386.865121
36000,2403502591.498811
37000,2423287892.849341
38000,2444096908.442152
39000,2465973706.770238
40000,2488964299.999725
41000,2513178506.224027
42000,2538633335.574699
43000,2565447552.178115
44000,2593646737.307818
45000,2623371124.930333
46000,2654735403.619906
47000,2687825323.424260
48000,2722680525.264243
49000,2759532339.655816
50000,2798481519.721391
