,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.47,0.4,0.04,0.48,0.01
1,1.0,0.47,0.4,0.04,0.44,0.01
2,2.0,0.48,0.4,0.04,0.44,0.01
3,3.0,0.47,0.4,0.04,0.4,0.04
4,4.0,0.48,0.4,0.04,0.4,0.04
5,5.0,0.48,0.4,0.04,0.4,0.04
6,6.0,0.48,0.4,0.04,0.44,0.01
7,7.0,0.49,0.4,0.04,0.4,0.04
8,8.0,0.49,0.4,0.04,0.4,0.04
9,9.0,0.5,0.4,0.04,0.4,0.04
10,10.0,0.5,0.4,0.04,0.4,0.04
11,11.0,0.51,0.36,0.08,0.4,0.04
12,12.0,0.51,0.36,0.08,0.4,0.04
13,13.0,0.52,0.36,0.08,0.36,0.08
14,14.0,0.52,0.36,0.08,0.36,0.08
15,15.0,0.52,0.36,0.08,0.36,0.08
16,16.0,0.53,0.36,0.08,0.36,0.08
17,17.0,0.54,0.32,0.16,0.36,0.08
18,18.0,0.55,0.32,0.16,0.32,0.16
19,19.0,0.56,0.32,0.16,0.32,0.16
20,20.0,0.57,0.36,0.08,0.32,0.16
21,21.0,0.58,0.32,0.16,0.32,0.16
22,22.0,0.59,0.28,0.29,0.32,0.16
23,23.0,0.6,0.28,0.29,0.32,0.16
24,24.0,0.61,0.28,0.29,0.28,0.29
25,25.0,0.62,0.28,0.29,0.28,0.29
