,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.51,0.44,0.01,0.48,0.01
1,1.0,0.51,0.36,0.08,0.44,0.01
2,2.0,0.52,0.4,0.04,0.4,0.04
3,3.0,0.52,0.36,0.08,0.36,0.08
4,4.0,0.53,0.36,0.08,0.36,0.08
5,5.0,0.53,0.36,0.08,0.32,0.16
6,6.0,0.55,0.32,0.16,0.24,0.48
7,7.0,0.57,0.28,0.29,0.24,0.48
8,8.0,0.59,0.28,0.29,0.2,0.71
9,9.0,0.59,0.28,0.29,0.2,0.71
10,10.0,0.59,0.24,0.48,0.2,0.71
11,11.0,0.62,0.28,0.29,0.16,0.91
12,12.0,0.64,0.28,0.29,0.16,0.91
13,13.0,0.65,0.28,0.29,0.16,0.91
14,14.0,0.69,0.24,0.48,0.12,1.0
15,15.0,0.72,0.24,0.48,0.12,1.0
16,16.0,0.77,0.2,0.71,0.12,1.0
17,17.0,0.81,0.2,0.71,0.08,1.0
18,18.0,0.85,0.2,0.71,0.08,1.0
19,19.0,0.89,0.2,0.71,0.12,1.0
20,20.0,0.98,0.2,0.71,0.12,1.0
21,21.0,1.04,0.2,0.71,0.16,0.91
22,22.0,1.09,0.2,0.71,0.16,0.91
23,23.0,1.19,0.16,0.91,0.16,0.91
24,24.0,1.27,0.2,0.71,0.16,0.91
25,25.0,1.36,0.2,0.71,0.16,0.91
26,26.0,1.52,0.2,0.71,0.2,0.71
27,27.0,1.66,0.2,0.71,0.2,0.71
28,28.0,1.85,0.2,0.71,0.2,0.71
29,29.0,2.03,0.24,0.48,0.24,0.48
30,30.0,2.37,0.24,0.48,0.28,0.29
31,31.0,2.82,0.28,0.29,0.2,0.71
32,32.0,3.53,0.24,0.48,0.24,0.48
33,33.0,4.53,0.24,0.48,0.2,0.71
34,34.0,6.7,0.2,0.71,0.24,0.48
35,35.0,11.17,0.24,0.48,0.32,0.16
36,36.0,27.01,0.24,0.48,0.44,0.01
37,37.0,3872437.15,0.24,0.48,0.6,0.0
38,38.0,76442468.84,0.24,0.48,0.56,0.0
39,39.0,68375205.28,0.2,0.71,0.64,0.0
40,40.0,68529731.29,0.2,0.71,0.52,0.0
41,41.0,297801953.19,0.24,0.48,0.52,0.0
42,42.0,201549870.57,0.2,0.71,0.68,0.0
43,43.0,88373938.38,0.24,0.48,0.52,0.0
44,44.0,443137715.46,0.24,0.48,0.56,0.0
45,45.0,100634797.98,0.2,0.71,0.52,0.0
46,46.0,80907826.24,0.24,0.48,0.52,0.0
47,47.0,80111908.92,0.24,0.48,0.52,0.0
48,48.0,108157595.22,0.24,0.48,0.6,0.0
49,49.0,91089016.69,0.2,0.71,0.56,0.0
50,50.0,234547946.3,0.24,0.48,0.52,0.0
