step,total_vel_x,total_vel_y,total_vel_z
0,678.910819,22.587548,2642.262049
1000,678.822708,22.542756,2642.349626
2000,678.886273,22.457724,2642.169854
3000,679.002968,22.450103,2641.959082
4000,679.134889,22.511542,2641.806835
5000,679.248652,22.551376,2641.835796
6000,679.302349,22.567855,2641.963348
7000,679.243070,22.502574,2642.127244
8000,679.127788,22.536702,2642.264877
9000,678.933605,22.490295,2642.321326
10000,678.801980,22.507200,2642.352205
11000,678.672507,22.488986,2642.356223
12000,678.532950,22.368739,2642.439095
13000,678.424762,22.304509,2642.448868
14000,678.330985,22.138231,2642.441060
15000,678.272291,22.002833,2642.474330
16000,678.181570,21.869878,2642.481723
17000,678.112569,21.768717,2642.476233
18000,678.144211,21.636137,2642.520140
19000,678.174516,21.514612,2642.482250
20000,678.223912,21.395589,2642.442155
21000,678.244984,21.269250,2642.348175
22000,678.285420,21.145158,2642.224645
23000,678.335443,21.007991,2642.170582
24000,678.362622,20.912936,2642.125031
25000,678.406528,20.796846,2642.050545
